id,classification_unit,component,version_chain_scope,functions,mechanism,asset_claim,return_source,lifecycle,standards_relationships,authority,dependencies,exit,source_refs,verified_at,research_cutoff,current_vs_historical,confidence,limitations,category_ids,category_assignment_kind,function_scope
CASE-01,component or scoped component composition,Maker MCD collateral Vault / Vat and adapters,"Historical Ethereum MCD design, 2020 whitepaper and dss source snapshot fa4f6630","[""FIN-MON"", ""FIN-CRE""]",Collateralized issuance of new Dai; collateral health checks; liquidation auctions,"Vault owner owes Dai plus stability fee; Dai holder owns a transferable monetary token, not the originating Vault",Borrower pays stability fees; holding Dai alone is not a yield entitlement,Debt accrues until repayment or liquidation; shutdown is a separate process,"[{""standard"": ""ERC-20"", ""relationship"": ""ADAPTER"", ""scope"": ""external collateral / Dai representations through join adapters"", ""source_refs"": [""C37""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","MKR governance authorizes collateral, risk parameters and trusted modules","Oracles, collateral adapters, keepers, auction liquidity, governance",Repay debt/fees and release collateral; a Dai holder sells/transfers Dai or uses separately applicable system facilities,"[""C01"", ""C37"", ""C38""]",2026-09-09,2026-09-08,historical design or market observation,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",The 2020 auction design is historical; this is not a claim about every 2026 Sky facility. The Vault is not an ERC-4626 investment share.,"[""FIN-MON.1"", ""FIN-CRE.2""]","analyst recommendation, not source author label",
CASE-02,component or scoped component composition,Circle Mint USDC issuance/redemption and EVM FiatToken,Circle Mint documentation; FiatTokenV2_2 source family at fc85788b,"[""FIN-MON""]",Fiat funding and issuer-controlled mint/burn; account-mediated bank payout,USDC balance; direct issuer redemption depends on account eligibility and issuer terms,No interest right established by holding the token,On-chain transfer and bank settlement have separate finality/timing,"[{""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""FiatToken transfer interface"", ""source_refs"": [""C35""], ""evidence_level"": ""pinned repository design; no deployed-bytecode test""}]","Issuer mint, pause, blacklist and proxy administration; bank/account controls","Reserve and issuer arrangements, banks, chain, proxy keys",Eligible Mint account payout or secondary sale; transferability does not guarantee universal bank redemption,"[""C02"", ""C35""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-MON.1""]","analyst recommendation, not source author label",
CASE-03,component or scoped component composition,Sablier Lockup stream and recipient NFT,EVM fixed-term Lockup component; source monorepo at 67774a16,"[""FIN-MON""]",Prefunded time-based vesting/payment schedule,NFT represents right to vested withdrawals; cancellation/transfer settings qualify remaining rights,Sender funds distribution; passage of time is not investment yield,Vesting unlocks over schedule; recipient claims; cancellation may return unvested assets,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""prefunded stream asset"", ""source_refs"": [""C41""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-721"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""stream recipient representation"", ""source_refs"": [""C51""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Sender-selected cancellation and transfer restrictions; NFT owner controls claim,Underlying token behavior and contract accounting,Withdraw vested balance; NFT transfer only where enabled,"[""C03"", ""C41"", ""C51""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-MON.2""]","analyst recommendation, not source author label",
CASE-04,component or scoped component composition,Uniswap V3 NonfungiblePositionManager liquidity position,Ethereum/EVM V3 periphery component; not all pool positions are NFTs,"[""FIN-EXC""]",Concentrated liquidity within tick interval; periphery wraps position ownership,ERC-721 identifies range liquidity plus collectible fees,"Swap fees, offset by inventory-value changes; incentive programs are separate",Mint/increase/decrease/collect are distinct operations,"[{""standard"": ""ERC-721"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""periphery position NFT"", ""source_refs"": [""C05""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""pool currencies; WETH wraps native ETH"", ""source_refs"": [""C05""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Position owner/approved NFT operator; core/periphery configuration must be scoped,"Token behavior, pool price path, liquidity and execution ordering",Decrease liquidity and collect amounts; token composition depends on current price,"[""C05""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-EXC.1""]","analyst recommendation, not source author label",
CASE-05,component or scoped component composition,Uniswap V4 PoolManager pool and flash accounting,"EVM V4 singleton component, documented architecture","[""FIN-EXC""]",Concentrated-liquidity accounting with optional hook callbacks; net currency deltas settled on unlock completion,Liquidity/accounting state and currency claims; a hook can change economics,Trading fees and inventory exposure; hooks may add separate terms,Within-transaction delta settlement; positions outlive transactions,"[{""standard"": ""ERC-6909"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""PoolManager currency claim representation, not a general financial product"", ""source_refs"": [""C52""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Hook-specific permissions and dynamic-fee authority; verify selected hook,"Currency contracts, hook code, PoolManager, transient storage",Remove liquidity and settle/take currency deltas under chosen pool/hook rules,"[""C06"", ""C07"", ""C52""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",Flash accounting is not synonymous with an ERC-3156 flash loan; source architecture alone does not establish safety of arbitrary hooks.,"[""FIN-EXC.1""]","analyst recommendation, not source author label",
CASE-06,component or scoped component composition,CoW GPv2Settlement and solver auction,EVM settlement contract plus off-chain auction component,"[""FIN-EXC""]","Signed user constraints, solver-selected trades and batched on-chain settlement",Order authority to exchange balances; no persistent yield claim created by the order,User pays execution costs; solvers compete for surplus/fees,Off-chain auction followed by on-chain settlement; auction batch need not equal one universal transaction,"[{""standard"": ""EIP-712"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""typed order authorization through GPv2 signing components"", ""source_refs"": [""C48""], ""evidence_level"": ""pinned source references; signing implementation not separately audited""}, {""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""settlement trade tokens"", ""source_refs"": [""C48""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Settlement authenticator controls solver access; users authorize orders and token spending,"Orderbook/auction service, solver availability, external liquidity and signatures","Order fill under constraints, cancellation or expiry; approval remains separately revocable","[""C08"", ""C48""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-EXC.2""]","analyst recommendation, not source author label",
CASE-07,component or scoped component composition,Aave V3 Pool reserve supply/borrow position,EVM Aave V3 Pool API; exclude V4 and Aptos implementation,"[""FIN-CRE""]","Inventory lending with variable debt, collateral health and liquidations",Supplier aToken claim and borrower debt accounting; collateral may be enabled separately,Borrower interest less protocol allocations; emissions separate,Open-ended accrual; exits bounded by collateral health and reserve liquidity,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""reserve underlying"", ""source_refs"": [""C09""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-2612"", ""relationship"": ""ACCEPTS"", ""scope"": ""supplyWithPermit for supporting underlying tokens"", ""source_refs"": [""C09""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Pool proxy, configurator and governance risk controls","Oracles, reserve assets, liquidators, chain, borrower solvency",Repay and withdraw within health/liquidity constraints; collateralized debt token is not a transferable bond,"[""C09""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-CRE.1""]","analyst recommendation, not source author label",
CASE-08,component or scoped component composition,Aave V3 flashLoanSimple execution,EVM single-reserve flashLoanSimple path,"[""FIN-CRE""]",Temporary liquidity with callback and same-transaction repayment plus premium,Transient repayment obligation; no overnight uncollateralized receivable,User pays flash premium; operation profit comes from the strategy executed,Repayment/approval check before transaction completion; failure reverts,"[{""standard"": ""ERC-3156"", ""relationship"": ""ANALOGUE"", ""scope"": ""similar capability, different executeOperation callback and Pool API"", ""source_refs"": [""C10""], ""evidence_level"": ""documentation assertion; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""borrowed asset"", ""source_refs"": [""C10""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Reserve/flash parameters and governance; callback code belongs to receiver,"Token behavior, callback implementation, Pool and execution ordering","Repay principal/premium within transaction; unlike flashLoan multi-asset path, no debt-opening option","[""C10""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","No transaction or live parameter inspection. Documentation is evidence of stated design, not operational guarantees.","[""FIN-CRE.3""]","analyst recommendation, not source author label",
CASE-09,component or scoped component composition,Morpho Blue five-parameter variable-rate market,"EVM Blue market component; collateral, loan asset, oracle, IRM and LLTV identify market","[""FIN-CRE""]",Isolated collateralized pool; immutable market parameters and variable interest,Supply/debt shares in market bookkeeping; collateral separately accounted,Borrower interest; rewards separate,Open-ended debt and liquidity-constrained withdrawals,"[{""standard"": ""ERC-20"", ""relationship"": ""ACCEPTS"", ""scope"": ""loan/collateral token requirements; docs explicitly allow omitted transfer return values"", ""source_refs"": [""C11""], ""evidence_level"": ""documentation assertion; conformance not tested""}]",Creation permissionless within approved IRM/LLTV set; market token/oracle controls remain external,"Oracle, IRM, both token contracts, liquidators",Repay debt before removing unsafe collateral; withdraw supply only with available liquidity,"[""C11""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim","Isolation is accounting scope, not elimination of common-token, shared-oracle or recursive-collateral risk.","[""FIN-CRE.1""]","analyst recommendation, not source author label",
CASE-10,component or scoped component composition,MetaMorpho / Morpho Vault V1.1 lending allocator,EVM Morpho Vault V1.1 component at pinned repository; not Vault V2,"[""FIN-MGT"", ""FIN-CRE""]",One-asset vault allocates supply among Morpho markets; caps and ordered withdrawals,Fungible vault share claims pro-rata portfolio value subject to credit losses and liquidity; V1.1 bad-debt accounting is not automatic loss realization,"Borrower interest from allocated markets, less vault fees; incentives distinct",Synchronous ERC-4626 interface over potentially illiquid lending assets,"[{""standard"": ""ERC-4626"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""vault accounting/entry/exit interface"", ""source_refs"": [""C47""], ""evidence_level"": ""pinned source design; conformance not tested""}, {""standard"": ""ERC-20"", ""relationship"": ""IMPLEMENTS"", ""scope"": ""vault shares"", ""source_refs"": [""C47""], ""evidence_level"": ""documentation assertion; conformance not tested""}]","Owner, curator, allocator and guardian have different controls; cap changes/timelocks scoped to version","Morpho markets, their oracles/tokens, liquidity, role holders",Redeem from accessible withdrawal queue liquidity; conversion quote is not an exit guarantee,"[""C13"", ""C47""]",2026-09-09,2026-09-08,documentation/source design observed at access; live state not reverified,"high for directly cited design; function assignments are proposed classification, not source-author labels; no deployed-bytecode conformance claim",Combines an investment container and delegated lending allocation. Does not transform underlying credit into risk-free savings.,"[""FIN-MGT.1""]","analyst recommendation, not source author label","MGT at vault/allocator component; CRE on the explicitly composed underlying markets, not a second independent vault obligation."
