claim_id,claim_class,claim,primary_source,source_date_or_revision,status,reproduced,confidence,limitation
INT-001,source fact,"CAKE separates application, permission, solver, and settlement layers",https://frontier.tech/the-cake-framework,2024-02-15,S2,yes,high,"Architecture framework; not a normative protocol"
INT-002,repository observation,"The CAKE working-group landing page has 14 unique public links",evidence/cake-working-group-acquisition-2026-09-03.json,2026-09-03,S2,yes,high,"One xerc20.com link failed before HTTP because of TLS negotiation"
INT-003,source fact,"The official NEAR Intents sitemap contains 68 documentation pages",evidence/near-intents-docs-acquisition-2026-09-03.json,2026-09-03,S6,yes,high,"Coverage does not prove deployed correspondence"
INT-004,source fact,"The Verifier maintains an internal token ledger and withdrawals use bridges",https://docs.near-intents.org/integration/verifier-contract/introduction,2026-03-01 sitemap lastmod,S6,no,high,"Deployment and upgrade authority need independent verification"
INT-005,source fact,"A signed Verifier payload binds signer verifying contract deadline nonce and intent list",https://docs.near-intents.org/integration/verifier-contract/intent-types-and-execution,2026-02-24 sitemap lastmod,S6,no,high,"Narrative and OpenAPI requirements disagree on some fields"
INT-006,source fact,"A token_diff batch must sum to zero for each token",https://docs.near-intents.org/integration/verifier-contract/intent-types-and-execution,2026-02-24 sitemap lastmod,S6,no,high,"Internal-ledger conservation does not prove bridge completion"
INT-007,source fact,"A Verifier nonce is 32 bytes with a four-byte rotating salt and 28 unique bytes",https://docs.near-intents.org/integration/verifier-contract/intent-types-and-execution,2026-02-24 sitemap lastmod,S6,no,high,"Source and live contract behavior remain to be reproduced"
INT-008,source fact,"Ordered Verifier actions do not guarantee ordered completion of asynchronous cross-contract calls",https://docs.near-intents.org/integration/verifier-contract/intent-types-and-execution,2026-02-24 sitemap lastmod,S6,no,high,"NEAR-specific execution property"
INT-009,source fact,"Verifier simulation excludes external asynchronous side effects",https://docs.near-intents.org/integration/verifier-contract/simulating-intents,2026-02-18 sitemap lastmod,S6,no,high,"Simulation is not ledger correspondence"
INT-010,source fact,"1Click temporarily transfers assets to a trusted swapping agent",https://docs.near-intents.org/integration/distribution-channels/1click-api/about-1click-api,2026-08-27 sitemap lastmod,S6,no,high,"Qualifies broad non-custodial marketing language"
INT-011,source fact,"Limit-order cancellation is asynchronous and fill and payout have separate states",https://1click.chaindefuser.com/docs/v0/openapi.yaml,0.1.10,S6,no,high,"Service implementation and rollback behavior need reproduction"
INT-012,source fact,"Guaranteed relay delivery is at-least-once with five-second acknowledgement 256 in-flight messages and seven-day retention",https://docs.near-intents.org/integration/market-makers/message-bus/guaranteed-delivery,2026-07-10 sitemap lastmod,S6,no,high,"Documented as live but not yet exercised by a solver"
INT-013,source fact,"Confidential Intents uses a permissioned FAR network treasury private relay and PoA bridge",https://docs.near-intents.org/integration/market-makers/confidential-intents,2026-07-22 sitemap lastmod,S6,no,high,"Public documentation does not define complete leakage guarantees"
INT-014,contradiction,"NEAR overview atomic-refund language is narrower than documented asynchronous and nonrefundable failure paths",https://docs.near-intents.org/getting-started/what-are-intents,2026-03-05 sitemap lastmod,S6,yes,high,"Requires route-specific interpretation"
INT-015,contradiction,"Narrative quickstart lists KNOWN_DEPOSIT_TX but the OpenAPI status enum does not",https://docs.near-intents.org/integration/distribution-channels/1click-api/quickstart/making-a-request,2026-07-22 sitemap lastmod,S6,yes,high,"Could be documentation or schema drift"
INT-016,source fact,"Current ERC-7683 uses opaque protocol payloads and a resolver-generated plan",https://eips.ethereum.org/EIPS/eip-7683,2026-05-13 file revision,Draft,no,high,"Draft and not a complete settlement protocol"
INT-017,contradiction,"Current ERC-7683 differs materially from prior order-and-fill interfaces still used by OIF vocabulary",https://github.com/openintentsframework/oif-solver,2026-06-28 observed revision,S3,yes,high,"Repository commits require a local acquisition receipt"
INT-018,source fact,"EIP-712 does not provide application replay protection",https://eips.ethereum.org/EIPS/eip-712,2025-10-15 file revision,Final,no,high,"Application must define nonce expiry and consumption"
INT-019,source fact,"CAIP-10 does not require canonical textual account identifiers",https://chainagnostic.org/CAIPs/caip-10,2024-10-26 file revision,Final,no,high,"Namespace-specific profiles remain required"
INT-020,recommendation,"Moriarty must keep objective quote authorization order resolution fill fulfillment and settlement as distinct typed artifacts",deliverables/moriarty-intent-standards-2026-09-03/report-source.md,2026-09-03,S2,not-applicable,high,"Design recommendation; requires council review and later semantic motions"
