target_id,economic_family,actions_or_workflow,source_keys,locator,semantic_requirement,distinguishing_test,implementation_disposition
DA01,F1,swap exact input / exact output,amm,"3.1, 3.3",asset-indexed exchange; fee and slippage accounting,rounding; reserve safety; net minimum,local fixed exact-input example only
DA02,F1,provide / remove liquidity,amm,2.3.2; 3.1,share mint/burn; reserve contributions,proportional entitlement; donation and zero-supply boundaries,needs-extension
DA03,F1,open / adjust / close liquidity position,amm,4,bounded position identity and range,fee allocation and finite tick/range traversal,needs-pinned-protocol-fixture
DA04,F2,supply / redeem lending claims,lending,3.4,claim shares and liquidity-constrained withdrawal,insufficient pool liquidity rejects without erasing claim,needs-extension
DA05,F2,post / release collateral,lending,3.2-3.4,encumbrance and debt-dependent release,release cannot violate collateral rule,needs-extension
DA06,F2,borrow / accrue / repay,lending,3.3-3.4,nominal debt distinct from transfers; rate/time arithmetic,partial repayment preserves principal and interest allocation,local bounded loan episode only
DA07,F2,liquidate / recognize default,lending;kotzer,3.4; III-C and V-C,authorized seizure; loss and residual debt allocation,partial liquidation and close factor; maturity before forfeiture,needs-pinned-protocol-fixture
DA08,F2,flash borrow / repay atomically,werner;kotzer,3.2; III-B,atomic multi-leg settlement with fee,every loan repaid within same atomic transaction,needs-normative-atomicity-fixture
DA09,F2,refinance / novate / capitalize,existing-reports,RP01 and report held-outs,"workflow over old debt, new debt, collateral and signed liability authority",reject refinance without old-debt discharge; capitalization changes liability,needs-pinned-protocol-fixture
DA10,F2,issue / burn debt-backed stablecoin,gogol,IV-A3,issuance authority plus debt and collateral,burn amount and released collateral obey specified debt rule,needs-extension
DA11,F3,open / margin / fund / close derivative,werner;gogol,3.5; IV-B3,"position notional, margin and funding obligations",funding signs; insolvency; precise settlement convention,needs-pinned-protocol-fixture
DA12,F3;P,write / exercise / expire contingent claim,werner,3.5,choice authority and exercise/payment dates,expiry does not erase already exercised payment duty,needs-pinned-protocol-fixture
DA13,P,split / merge / resolve event claims,existing-reports,DeFi report contingent-claim targets,outcome-indexed claims; resolution evidence,no duplicate winning claim; invalid resolution rejects,needs-primary-lifecycle-source
DA14,F4,stake / account rewards / slash,gogol,IV-A1,share-rate or rebase accounting; loss allocation,same nominal token balance can have changing entitlement,needs-pinned-protocol-fixture
DA15,F4,request unstake / claim exit,gogol;existing-reports,IV-A1 and pending-workflow report,pending exit identity; custody; delayed completion,exit request is not immediate token delivery,needs-primary-lifecycle-source
DA16,F5,issue / redeem external claim,gogol;existing-reports,III-B and IV-A2,attested claim; custody and legal assumptions,missing external settlement evidence cannot discharge duty,needs-primary-lifecycle-source
DA17,F6,deposit / mint / withdraw / redeem vault shares,erc4626,Methods; Security Considerations,asset/share conversions with method-specific rounding,"fees, rounding direction, initial donation and zero shares",source-defined-target; implementation-open
DA18,F6,request / fulfill / claim asynchronous redemption,erc7540,Request Lifecycle; requestRedeem; Security Considerations,Pending -> Claimable -> Claimed; residual request amount,partial claim and changed exchange rate; double claim rejects,source-defined-target; implementation-open
DA19,F6,allocate / harvest / reinvest / unwind / rebalance,yield,III-A Figure 2; III-B; V-B,"bounded workflow of trades, debt, shares and fees",losses and debt persist through unwind; liquidity shortage,needs-pinned-strategy-fixture
DA20,orthogonal,observe price / time / external event,werner;lending,2; 3.4,"typed observations with provenance, freshness and domain",stale or unauthorized evidence rejects,simulated observations only
DA21,orthogonal,authorize exact plan / refine outcome intent,existing-reports,intents report; RP01,gross debit; net receipt; recipients; calls; new liabilities,refund cannot restore gross capacity; fees count against net goal,local restricted profiles only
DA22,orthogonal,change parameters / pause / migrate,werner;gogol,2 governance; III-D,bounded administrative action under fixed claim policy,cannot downgrade claims or reset work; affects existing positions,needs-pinned-policy-fixture
DA23,orthogonal,send / receive / refund pending message,gogol;existing-reports,IV-A2 and report composition requirements,bounded pending commitments and finality evidence,delayed or duplicate delivery; explicit refund duty,needs-primary-lifecycle-source
DA24,orthogonal,sequence / parallel / interleave / synchronize / message,existing-reports,report reconciliation five operators,"operator-specific authority, duties, conflicts and fan-in",split partitions work and claims; join cannot duplicate resource,specified-only
