ordinal,protocol,inherited_family,inherited_secondary_families,inherited_subtype,inherited_kernel_flag,inherited_construction_status,proposed_status,package_behaviors,semantic_requirements,capabilities,row_specific_requirement,source_file,source_pointer,source_commit,representative_model_locator,source_omissions,residue_count,forced_count
1,Uniswap,F1,,exchange_or_amm,yes,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Version-scoped constant-product/concentrated positions; hooks; singleton net settlement; fee checkpoints; burn/distribution distinction,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/0/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",5,3
2,PancakeSwap,F1,,exchange_or_amm,yes,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Pool allocation weights and hooks; mechanism-version changes instead of assumed persistent vote escrow,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/0/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",3,1
3,Curve,F1,,exchange_or_amm,yes,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,StableSwap versus CryptoSwap; convergence; asymmetric division; profit-gated repegging; gauges/boost,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/0/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",5,4
4,Raydium,F1,,exchange_or_amm,yes,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,Pool versus launchpad; dormant order-book wiring; explicit upgrade authority,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/0/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",3,2
5,Fluid,F1,F2,amm_lending_hybrid,yes,included,requirements identified; not implemented or verified,Pool swaps; LP positions; signed-order settlement,Reserve/fee/share arithmetic; slippage; partial fills; cancellation; atomic net effects,ExecutionWitness when routing externally; scoped governance,F1+F2 shared position as inventory and collateral/debt; liquidity and fee/interest netting,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/0/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/uniswap_v2.qnt:279,"Constant-product pilot does not cover concentrated positions, hooks or all solver behavior",4,2
6,Aave V3,F2,,collateralized_credit,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Utilization rate; E-Mode; supply/borrow/debt caps; delegation; liquidation fee/backstop,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/0,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,6,4
7,Morpho,F2,,isolated_credit_vault,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Market-selected oracle/IRM; isolated risk; curator/market-cap management overlay,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/1,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,5,3
8,SparkLend,F2,,collateralized_credit,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Issuer-to-lending liquidity line; administered-rate target; underlying lending dependency,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/2,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,3,1
9,JustLend V1,F2,,collateralized_credit,yes,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,Close factor; seize/repay distinction; chain-energy rental capability,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/3,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,3,2
10,Maple,F2,F5,private_credit,no,included,requirements identified; not implemented or verified,Supply/debt shares; collateral; credit/debt issuance,Accrual; health; liquidation thresholds/order; bad debt and loss bearer,PriceObservation; RateObservation/IRM policy; custody/servicing for external credit,F2+F5 obligor; underwriting; custody; servicing/refinance/write-down authority; recourse,corpus50/lanes/lane1-dex-lending-cdp-lsd.json,/categories/1/protocols/4,8ae0bbfaa3193078d1cabf6999db1382985b7f95,quint-models-v2/morpho_blue.qnt:435,Model omits IRM/compounded-rate calculation; supplied interest is not rate-model coverage,5,4
