source_key,title,requested_url,canonical_url,retrieved_at_utc,http_status,source_date,authority,standards_status,acquisition_method,local_path,sha256,coverage_limitations
MIS-001,"Introducing the CAKE framework",https://frontier.tech/the-cake-framework,https://frontier.tech/the-cake-framework,2026-09-03T12:59:57Z,200,2024-02-15,"primary descriptive research",not-applicable,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/frontier-cake.md,3596e3af0d659234a3cda1048476b9c398972830482300e8e7ee433969b793db,"Framework article, not a normative or audited protocol specification"
MIS-002,"EIP-1193: Ethereum Provider JavaScript API",https://eips.ethereum.org/EIPS/eip-1193,https://eips.ethereum.org/EIPS/eip-1193,2026-09-03T13:02:11Z,200,2018-06-30,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-1193.md,95ceb5af970755d4504a0c67c89aadba3f120f10e351ffcc45e6d6fb07f40e61,"Ethereum-specific provider semantics require adaptation"
MIS-003,"EIP-2255: Wallet Permissions System",https://eips.ethereum.org/EIPS/eip-2255,https://eips.ethereum.org/EIPS/eip-2255,2026-09-03T13:02:12Z,200,2019-08-22,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-2255.md,03f71f85da453591bba72bdc6cc6f4433d0c4b1bd333204f281c9bb837e2a4ae,"Ethereum wallet interface, not Midnight authority semantics"
MIS-004,"EIP-5792: Wallet Call API",https://eips.ethereum.org/EIPS/eip-5792,https://eips.ethereum.org/EIPS/eip-5792,2026-09-03T13:02:12Z,200,2022-10-17,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-5792.md,5fcf9804706e1860b3f09cbd67d2d2762fc7b78657084ed637e85026c7dc2139,"Ethereum wallet batching and capability model requires adaptation"
MIS-005,"EIP-6963: Multi Injected Provider Discovery",https://eips.ethereum.org/EIPS/eip-6963,https://eips.ethereum.org/EIPS/eip-6963,2026-09-03T13:02:13Z,200,2023-05-01,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-6963.md,aeac76f98983603c11874c6a10d499ec8962cc81a594c49ad5b32af97b02c251,"Browser discovery pattern only"
MIS-006,"EIP-712: Typed structured data hashing and signing",https://eips.ethereum.org/EIPS/eip-712,https://eips.ethereum.org/EIPS/eip-712,2026-09-03T13:00:28Z,200,2017-09-12,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-712.md,55d2752a80e900257fec7762a1e5bc4aeeea52ec5e48dc7f47f2bcf5fc37e426,"Defines signing encoding and explicitly does not supply replay protection"
MIS-007,"EIP-7702: Set Code for EOAs",https://eips.ethereum.org/EIPS/eip-7702,https://eips.ethereum.org/EIPS/eip-7702,2026-09-03T13:00:30Z,200,2024-05-07,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-7702.md,5231893d2911445da9c25d7e6aea5b5ba3d6e73ba81c0867d31833016cd5d581,"EVM account semantics do not transfer directly to Midnight"
MIS-008,"ERC-7930: Interoperable Addresses",https://eips.ethereum.org/EIPS/eip-7930,https://eips.ethereum.org/EIPS/eip-7930,2026-09-03T13:00:57Z,200,2025-02-02,"primary standards document",Review,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/eip-7930.md,f9ec3f1b9f934d74305f2310c243b60ccdcdcb8af2733cc591164fe220fc14df,"Non-final status and cross-chain address scope"
MIS-009,"ERC-1155: Multi Token Standard",https://eips.ethereum.org/EIPS/eip-1155,https://eips.ethereum.org/EIPS/eip-1155,2026-09-03T13:01:02Z,200,2018-06-17,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-1155.md,59fa268f0862b4903de4192ef0765d82d400567a65ad9b0edd4669d09cad1c8f,"EVM token interface, not a prediction-market semantics"
MIS-010,"ERC-1271: Standard Signature Validation Method for Contracts",https://eips.ethereum.org/EIPS/eip-1271,https://eips.ethereum.org/EIPS/eip-1271,2026-09-03T13:00:29Z,200,2018-07-25,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-1271.md,05491353929312c22cac511639237ff09f91c229408032a09cb66248c7efc348,"EVM contract-signature validation requires an authority adapter"
MIS-011,"ERC-20: Token Standard",https://eips.ethereum.org/EIPS/eip-20,https://eips.ethereum.org/EIPS/eip-20,2026-09-03T13:01:00Z,200,2015-11-19,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-20.md,d88778a6cf4210b6d1f945e22dee0fd1ac084fad00997e291ff61991dad51a01,"EVM token behavior is comparative interface evidence only"
MIS-012,"ERC-2612: Permit Extension for EIP-20 Signed Approvals",https://eips.ethereum.org/EIPS/eip-2612,https://eips.ethereum.org/EIPS/eip-2612,2026-09-03T13:02:13Z,200,2020-04-13,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-2612.md,4abf1632dc7edcc049921c59d50d6e047b6cb7ac84fb88e2e5c8c909f8ce1388,"Signed token approval pattern only"
MIS-013,"ERC-3009: Transfer With Authorization",https://eips.ethereum.org/EIPS/eip-3009,https://eips.ethereum.org/EIPS/eip-3009,2026-09-03T13:02:14Z,200,2020-09-28,"primary standards document",Draft,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-3009.md,b72caed3f57a750baaada84ec42b595e6cf4d540a687f6cc6c8ae62929439472,"Non-final signed-transfer pattern"
MIS-014,"ERC-3156: Flash Loans",https://eips.ethereum.org/EIPS/eip-3156,https://eips.ethereum.org/EIPS/eip-3156,2026-09-03T13:01:02Z,200,2020-11-15,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-3156.md,e5850a5bf3cc66d077b81f35c2ba8ad10debb706740550c10e150e0ae050145b,"EVM callback model can violate initial Core restrictions"
MIS-015,"ERC-4337: Account Abstraction Using Alt Mempool",https://eips.ethereum.org/EIPS/eip-4337,https://eips.ethereum.org/EIPS/eip-4337,2026-09-03T13:00:29Z,200,2021-09-29,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-4337.md,1bdff62de6ef02a7b7375200fbb596a043c316c97841e03da33cc90ae9adf066,"Ethereum UserOperation and bundler architecture requires adaptation"
MIS-016,"ERC-4626: Tokenized Vaults",https://eips.ethereum.org/EIPS/eip-4626,https://eips.ethereum.org/EIPS/eip-4626,2026-09-03T13:01:00Z,200,2021-12-22,"primary standards document",Final,"Scrapling 0.4.15 static fetcher with AI-targeted extraction",raw/sources/moriarty-intent-semantics-2026-09-03/erc-4626.md,d42576658e20b7b27857dbded7f3db983a4f976a387cfa4853715dcf71092657,"Vault interface does not define strategy safety"
