id,number,title,category,type,status,created,verified_at,cutoff,source_url,source_commit,source_sha256,source_file,requires,capability,core,purpose,methods_events,mandatory_optional,unspecified,limitations,reference_implementation,implementation_maturity,adoption_evidence,security_evidence,revision_notes,deployment_evidence,economic_adoption_evidence,evidence_axes,confidence,evidence_kind,material_revisions,inspected_revisions,historical_proposal_status,research_local_date,requires_evidence,author,economic_adoption,status_changes_checked,last_file_change
ERC-20,20,Token Standard,ERC,Standards Track,Final,2015-11-19,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,50d0bdc535ed8987ac5c124cb5f9c39606806c97e909aae66ef4b747dd9c93dd,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-20.md,[],base_asset,True,"Fungible balance, transfer and delegated allowance accounting.","[""totalSupply balanceOf transfer transferFrom approve allowance; Transfer Approval""]",Transfers including zero must emit Transfer; successful approve emits Approval. Callers must handle false. name/symbol/decimals optional.,"Minting policy, backing, redemption, rebasing, fees, issuer rights and valuation.",A matching ABI does not prove transferred amount or absence of callbacks. Allowance replacement has ordering risk.,OpenZeppelin and ConsenSys examples embedded in registry assets.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""8358b94b5ed4009473cb4c3040d9bba60e7bb786"", ""date"": ""2023-12-13T17:18:35Z"", ""message"": ""Copy ERC-20 reference implementations locally (#112)""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-721,721,Non-Fungible Token Standard,ERC,Standards Track,Final,2018-01-24,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,238787165c08ac748928ffad57a24045802174bb38220af9e7b63c44778b7372,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-721.md,[165],position_representation,True,"Individually identified transferable positions, independent of their financial payoff.","[""ownerOf balanceOf approve getApproved setApprovalForAll isApprovedForAll transferFrom safeTransferFrom; Transfer Approval ApprovalForAll""]",ERC-165 and core ownership/approval interface required; safe transfer checks contract acceptance via onERC721Received; metadata/enumeration optional.,"Mint/burn entry points, legal title, cash flows, valuation and unrestricted transfer.",Token IDs opaque; unsafe transfer may strand a position; callback acceptance is not economic safety.,"Specification lists 0xcert, Su Squares and example deed implementations; examples are historical, not current deployment audit.",Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""49e372bc8e5fab0ba2f7e60da2f0c2895ea5b119"", ""date"": ""2025-05-13T21:06:55Z"", ""message"": ""Update ERC-3009: fix dead links (#953)\n\n* fix dead link in `erc-3009.md`\n\n* fix broken link to safeERC20.sol in `erc-721.md`\n\n* Duplicate SafeERC20.sol into erc-721\n\n* Duplicate reference implementation into ERC-3009's assets dir\n\n---------\n\nCo-authored-by: Sam Wilson <sam@binarycake.ca>""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-1155,1155,Multi Token Standard,ERC,Standards Track,Final,2018-06-17,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1155.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,beac04fc902314ec0d60000e3bcb73cb7080d586f6a718b6b35a6d68a8ac98b1,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-1155.md,[165],position_representation,True,Multiple fungible or unique token IDs and batched transfers in one contract.,"[""balanceOf balanceOfBatch setApprovalForAll isApprovedForAll safeTransferFrom safeBatchTransferFrom onERC1155Received onERC1155BatchReceived; TransferSingle TransferBatch ApprovalForAll URI""]",ERC-165 required; standard safe transfers require receiver hooks and magic returns for contracts; balances/events updated before hook. Metadata URI extension optional.,"Economic meaning of an ID, payoff, granular per-ID allowances and minting policy.",Global operator spans all IDs; callbacks create control-flow dependencies. Special hybrid transfer exceptions require explicit implementation analysis.,Registry links enjin/erc-1155 and horizon-games/multi-token-standard.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""8dd085d159cb123f545c272c0d871a5339550e79"", ""date"": ""2023-10-25T15:11:14Z"", ""message"": ""complete erc move""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-6909,6909,Minimal Multi-Token Interface,ERC,Standards Track,Final,2023-04-19,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-6909.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,5f65ed1db122a04547c413bc46ec18f59bfef4b2a148d20295e97999c6c7f299,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-6909.md,[165],position_representation,True,Minimal multi-token accounting with per-ID allowance and all-ID operators.,"[""balanceOf allowance isOperator transfer transferFrom approve setOperator; Transfer Approval OperatorSet""]",ERC-165 required; approval and operator models required; insufficient balance/permission must revert; transfers return true and emit events. Metadata/content URI/supply are extensions.,Batching and recipient callbacks deliberately omitted; payoff and backing unspecified.,Not backward compatible with ERC-1155. Operator authority spans IDs. Normative transferFrom operator exemption and Security Considerations allowance-order latitude deserve conformance attention.,Solidity reference contract embedded in specification.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""af31ec48753a39e115c9ebcc1da56ede271208d4"", ""date"": ""2025-09-23T16:16:03Z"", ""message"": ""Update ERC-6909: Move to Final\n\nMerged by EIP-Bot.""}, ""status_events_found"": [{""sha"": ""af31ec48753a39e115c9ebcc1da56ede271208d4"", ""date"": ""2025-09-23T16:16:03Z"", ""message"": ""Update ERC-6909: Move to Final\n\nMerged by EIP-Bot.""}, {""sha"": ""47fc20e561a4bd7d2a3038a5d3276019c9034c06"", ""date"": ""2025-09-04T16:27:31Z"", ""message"": ""Update ERC-6909: Move to Last Call\n\nMerged by EIP-Bot.""}, {""sha"": ""33ff9823e15cb81a0e0880b7d36b7d4fbafa73b9"", ""date"": ""2024-10-01T14:14:48Z"", ""message"": ""Update ERC-6909: Move to Review\n\nMerged by EIP-Bot.""}], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-165,165,Standard Interface Detection,ERC,Standards Track,Final,2018-01-23,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,f431a42854927b82c309060d017c5bd4f61abf8dc4679e466369e698a2d52396,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-165.md,[214],interface_discovery,True,Publish and detect supported function-selector interface IDs.,"[""supportsInterface""]","Must return true for 0x01ffc9a7, false for 0xffffffff and use at most 30000 gas; prescribed two-call detection.","Behavioral conformance, return semantics beyond discovery, economic rights and correct implementation.",Self-reporting interface detection cannot establish behavioral or economic compatibility.,Mapping and pure examples plus detection test contract in specification.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""8dd085d159cb123f545c272c0d871a5339550e79"", ""date"": ""2023-10-25T15:11:14Z"", ""message"": ""complete erc move""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-777,777,Token Standard,ERC,Standards Track,Final,2017-11-20,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-777.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,ecfc54b909c7959efd93d58dfecb0046d35de0cd9cdad6180222115c02b83f8b,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-777.md,[1820],token_callbacks,False,Operator-managed token sends/burns with registered sender and recipient hooks.,"[""send operatorSend burn operatorBurn granularity defaultOperators authorizeOperator revokeOperator isOperatorFor tokensToSend tokensReceived; Sent Minted Burned AuthorizedOperator RevokedOperator""]","Register token/hook interfaces through ERC-1820. Sender hook before balance change, recipient hook after. Native send to contract without registered receiver reverts; ERC-20 compatibility is optional with explicit compatibility rules.","Backing and yield, economic trust in operators or hooks.",ERC-20-compatible paths still call registered hooks; assuming ERC-20 transfer is inert creates reentrancy hazards. Default operators may exist but holder can revoke.,"Specification links reference implementation and ERC-1820 registry; historical integration capability, not recommendation.",Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""3f8812087affdcbe7f9c47949cdc3c6077523164"", ""date"": ""2024-03-13T17:36:32Z"", ""message"": ""Update ERC-777: fix typo (#182)\n\n* Update ERC-777 : fix typo\r\n\r\nsame as title\r\n\r\n* Add hyphen for `ERC-N`""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-1363,1363,Payable Token,ERC,Standards Track,Final,2018-08-30,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1363.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,a8e671c82c2e9392ba695c592b20cf6b7eaf38131ac8718253ae2db8de88797d,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-1363.md,"[20, 165]",token_callbacks,False,Opt-in transfer/approval entry points which invoke receiver or spender code.,"[""transferAndCall transferFromAndCall approveAndCall onTransferReceived onApprovalReceived; inherited Transfer Approval""]","Implement ERC-20, ERC-165 and callback extensions; recipient/spender contract must return the specified magic value. Ordinary ERC-20 methods are not overridden by this extension.","Application payment obligations, callback application behavior and economic safety.",Callback reentrancy and allowance replacement race remain. Distinguish explicit AndCall flows from ERC-777 registered hooks on compatible ordinary transfers.,Normative interfaces embedded; no separately validated deployed implementation in this profile.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""98037d78eed798981bffd3b8efb31b2eab0f4455"", ""date"": ""2024-03-05T15:13:56Z"", ""message"": ""fix: add missing return statement (#213)""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-1820,1820,Pseudo-introspection Registry Contract,ERC,Standards Track,Final,2019-03-04,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1820.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,d443362a7379d69d999c979e094481ee8e993c6081be715ece13fbe1ac3bed62,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-1820.md,"[165, 214]",interface_discovery,False,"Registry mapping an account and named interface to an implementation, including externally owned accounts.","[""setInterfaceImplementer getInterfaceImplementer setManager getManager interfaceHash updateERC165Cache implementsERC165Interface; InterfaceImplementerSet ManagerChanged""]",Only manager sets implementer; third-party implementer acceptance magic required; ERC-165 reserved hashes forwarded; prescribed deterministic deployment transaction.,Correctness/trust of registered implementation; automatic cache invalidation.,Manager can redirect behavior; ERC-165 cache can be stale. Supersedes ERC-820 due to old detection bug.,Exact registry source and deployment transaction embedded; linked 0xjac/ERC1820. No new deployment performed.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""8dd085d159cb123f545c272c0d871a5339550e79"", ""date"": ""2023-10-25T15:11:14Z"", ""message"": ""complete erc move""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
ERC-4626,4626,Tokenized Vaults,ERC,Standards Track,Final,2021-12-22,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-4626.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,698c05bff73bfb796f59cd7c4732edccdf7e40176f9bb027c19a0bbe7251e10a,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-4626.md,"[20, 2612]",vault_accounting,True,Share accounting and deposit/mint/withdraw/redeem interface for one underlying ERC-20 asset.,"[""asset totalAssets convertToShares convertToAssets maxDeposit maxMint maxWithdraw maxRedeem previewDeposit previewMint previewWithdraw previewRedeem deposit mint withdraw redeem; Deposit Withdraw""]","ERC-20 shares and optional ERC-20 metadata become mandatory; ERC-2612 permit remains MAY despite requires metadata. Conversion excludes fees/slippage, caller-independent, rounds down. Previews include fees and disregard user/global limits; max methods reflect limits conservatively.","Investment strategy, allocation/accounting internals, guaranteed yield, solvency, unrestricted transfer or immediate redemption availability.",Shares differ from asset units; totalAssets and conversion value are not realizable exit prices. Rounding/donation effects and malicious implementations need explicit integration checks.,"Specification links reference implementations; this profile audits normative interface, not a deployed instance.",Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""cf8bff877b00d56cec0c60007a25bae0937d0d03"", ""date"": ""2024-09-25T14:09:05Z"", ""message"": ""Update erc-4626.md (#581)\n\na minimal implementation broken link fixed: https://github.com/transmissions11/solmate/blob/main/src/tokens/ERC4626.sol""}, ""status_events_found"": [], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null, ""inspected_patch"": {""date"": ""2024-09-25"", ""summary"": ""Reference implementation URL repair only; not a normative interface revision."", ""evidence_file"": ""deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/revision-4626.json"", ""material"": false}}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],"[{""date"": ""2024-09-25"", ""summary"": ""Reference implementation URL repair only; not a normative interface revision."", ""evidence_file"": ""deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/revision-4626.json"", ""material"": false}]",,,,,,,
ERC-7535,7535,Native Asset ERC-4626 Tokenized Vault,ERC,Standards Track,Final,2023-10-12,2026-09-09,2026-09-08T23:59:59Z,https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-7535.md,f4c23717b6a6fc48436bb6778dcecce29cc5345c,754d348416e8afe83d9321fba86641a994c673903a996e48cac1b93702ca7824,deliverables/modern-defi-taxonomy-2026-09-08/sources/assets/raw/erc-7535.md,"[20, 4626, 7528]",vault_accounting,False,ERC-4626-shaped interface with native ETH assets and payable entry methods.,"[""asset deposit mint; inherited ERC-4626 methods and Deposit Withdraw""]",asset must return ERC-7528 native-asset sentinel; assets are wei; deposit uses msg.value and may ignore assets argument; no underlying ERC-20 approval flow. Wrapped-ETH vaults must not implement this extension.,"Excess ETH refund/absorption policy for mint, forced ETH accounting and fallback behavior.",Same selector does not mean same funding behavior; ETH sends create callback/forced-balance hazards.,Normative overrides; reference implementation not specified in this document.,Reference/interface availability only; no build or conformance test performed in this normative profile.,No current deployment or economic-adoption measurement established by this specification-only profile; join separately scoped validation cases.,Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.,"{""latest_file_commit"": {""sha"": ""7e585b75f2c83c51834291492faa8f897b1d956e"", ""date"": ""2024-04-02T14:17:28Z"", ""message"": ""Update ERC-7535: Move to Final\n\nMerged by EIP-Bot.""}, ""status_events_found"": [{""sha"": ""7e585b75f2c83c51834291492faa8f897b1d956e"", ""date"": ""2024-04-02T14:17:28Z"", ""message"": ""Update ERC-7535: Move to Final\n\nMerged by EIP-Bot.""}, {""sha"": ""8b6c7249ea6e0df7c3c0a8c85a25ab146a0e6fd6"", ""date"": ""2024-02-20T16:16:34Z"", ""message"": ""Update ERC-7535: Move to Last Call\n\nMerged by EIP-Bot.""}, {""sha"": ""707bc79e0a013d1784b005981909f6b9dc59f8a2"", ""date"": ""2023-11-28T15:29:59Z"", ""message"": ""Update ERC-7535: Move to Review\n\nMerged by EIP-Bot.""}], ""coverage"": ""ERCs repository file history from 2023 migration through cutoff; earlier EIPs history not exhaustively reconstructed. Latest file change is not necessarily a material revision or status change."", ""material_revision_date"": null}","No deployed address, block or bytecode-conformance result established by this normative-source profile.",Not measured in this profile; do not infer adoption from Final status or a reference implementation.,"{""formal_specification_status"": ""Final"", ""implementation_maturity"": ""Reference/interface availability only; no build or conformance test performed in this normative profile."", ""deployment_evidence"": ""No deployed address, block or bytecode-conformance result established by this normative-source profile."", ""economic_adoption"": ""Not measured in this profile; do not infer adoption from Final status or a reference implementation."", ""security_evidence"": ""Specification security considerations inspected; no independent audit or deployed-bytecode correspondence established.""}",high,source_fact,[],,,,,,,,
