ZKIR K semantics, M3 claims rerun after M5b (the <observable> cell, obs(status, encoded outputs, public inputs); spec_compiled_observable states its triple through it): kprove receipts on the Haskell backend
Date: 2026-09-06 (suffix c)   Branch: zkir-k-iter3 (uncommitted iteration-3 work)
K: v7.1.337 (kore-exec/booster, Z3)   Host: 6 cores, WSL2
# definition /home/charl/Moriarty/.worktrees/zkir-k-iter3/experiments/zkir-k/semantics/zkir-symbolic-kompiled
# kprove logs /tmp/zkir-k-claims-pivsva65
# claim                        result                                                   seconds
add                            proved                                                        8.6
mul                            proved                                                        9.0
neg                            proved                                                        8.2
copy                           proved                                                        9.3
cond_select-1                  proved                                                        9.1
cond_select-0                  proved                                                        8.7
constrain_to_boolean-ok        proved                                                        9.9
constrain_to_boolean-fail      proved                                                        8.3
assert-ok                      proved                                                        7.1
assert-fail                    proved                                                        7.2
transient_hash                 proved                                                        8.7
spec_compiled_observable       proved                                                        7.8
12/12 claims proved
