id,category_id,standard_id,relationship,scope,evidence_kind,confidence,source_refs,specification_commit,verified_at,implementation_claim
MAP-001,FIN-MON,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-002,FIN-EXC,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-003,FIN-CRE,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-004,FIN-CAP,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-005,FIN-DER,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-006,FIN-MGT,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-007,FIN-SEC,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-008,FIN-RSK,ERC-20,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-20.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-009,FIN-EXC,ERC-721,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-010,FIN-CRE,ERC-721,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-011,FIN-MGT,ERC-721,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-012,FIN-SEC,ERC-721,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-013,FIN-RSK,ERC-721,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-721.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-014,FIN-EXC,ERC-1155,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1155.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-015,FIN-CAP,ERC-1155,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1155.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-016,FIN-DER,ERC-1155,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1155.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-017,FIN-RSK,ERC-1155,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1155.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-018,FIN-EXC,ERC-6909,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-6909.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-019,FIN-DER,ERC-6909,position_representation,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-6909.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-020,FIN-MON,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-021,FIN-EXC,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-022,FIN-CRE,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-023,FIN-CAP,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-024,FIN-DER,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-025,FIN-MGT,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-026,FIN-SEC,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-027,FIN-RSK,ERC-165,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-165.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-028,FIN-MON,ERC-777,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-777.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-029,FIN-EXC,ERC-777,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-777.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-030,FIN-CRE,ERC-777,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-777.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-031,FIN-MGT,ERC-777,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-777.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-032,FIN-MON,ERC-1363,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1363.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-033,FIN-EXC,ERC-1363,execution_interface,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1363.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
MAP-034,FIN-MON,ERC-1820,supporting_infrastructure,Capability relevance to eligible EVM components; not whole-category implementation or adoption,recommendation,medium,"[""https://github.com/ethereum/ERCs/blob/f4c23717b6a6fc48436bb6778dcecce29cc5345c/ERCS/erc-1820.md"", ""CATEGORIES.md""]",f4c23717b6a6fc48436bb6778dcecce29cc5345c,2026-09-09,False
