kind,id,title,status,evidence,disposition
workstream,W1,"Evidence and repository reconstruction",implemented,"evidence/source-inventory.csv; evidence/repository-locks-2026-09-02.tsv","Substantial primary corpus is pinned; moving sources still require refresh at decision time."
workstream,W2,"Taxonomy completeness and validity",reproduced,"evidence/defiformal-taxonomy-metrics-2026-09-02.json; wiki/defiformal-taxonomy.md","Core metrics are reproduced; genuine independent raters and temporal validation remain open."
workstream,W3,"DeFiFormal algebra and obligation audit",reproduced,"evidence/defiformal-composition-rates-2026-09-02.json; evidence/defiformal-corpus-reconstruction-2026-09-02.json","Counts and composition rates are reproduced; the 689 residues still need row-level semantic coding."
workstream,W4,"Marlowe capability and proof map",implemented,"wiki/marlowe-baseline.md; wiki/formal-assurance.md","V1 semantics and proof gaps are mapped; the complete 72-row capability matrix remains open."
workstream,W5,"Moriarty semantic architecture",implemented,"wiki/moriarty-architecture.md; experiments/moriarty-core-swap/translation-certificate.json","The E00 subset is executable; the full typed surface and accepted semantic motions remain open."
workstream,W6,"Seven family applications and 72-row coverage",specified-only,"deliverables/moriarty-defiformal-category-strawmen.md; evidence/defiformal-72-protocol-family-facet-crosswalk-2026-09-02.csv","Strawmen and taxonomy flags exist; seven generated applications and 72 reviewed manifests do not."
workstream,W7,"Compact ZKIR and Midnight backend",implemented,"experiments/moriarty-core-swap/toolchain-results.json; wiki/midnight-repositories.md","Escrow and swap compile; real proofs network execution fees and upgrade testing remain open."
workstream,W8,"SDK Runtime wallet and deployment kernel",specified-only,"wiki/moriarty-architecture.md; wiki/security.md","Architecture exists; no client verifier Runtime or deployment implementation exists."
workstream,W9,"Formal assurance and conformance",specified-only,"wiki/formal-assurance.md; experiments/moriarty-core-swap/translation-certificate.json","Differential evidence exists; no normative proof environment or mechanized Core proof is selected."
workstream,W10,"Security and economic threat model",implemented,"wiki/security.md","The threat boundary is drafted; adversarial experiments and an independent audit remain open."
workstream,W11,"Migration governance maintenance and adoption",specified-only,"deliverables/moriarty-decision-study-2026-09-02.md; deliverables/moriarty-90-day-research-sprint-2026-09-03.md","Plans exist; migration rehearsal maintainer commitments and pilots do not."
workstream,W12,"Decision and red team",implemented,"wiki/decision.md; deliverables/moriarty-agentic-council-record-2026-09-03.md","A gated recommendation and council record exist; the day-90 decision remains open."
experiment,E00,"Compact-generation stop test",reproduced,"experiments/moriarty-core-swap/translation-certificate.json; experiments/moriarty-core-swap/toolchain-results.json","Reviewed 1000-trace predicate passed across all required cells; deadlines 1 through 3 and reversed party order pass regressions; real proof and release-scale gates remain open."
experiment,E01,"Reproduce corpus and obligation counts",reproduced,"evidence/defiformal-corpus-reconstruction-2026-09-02.json","Passed at pinned DeFiFormal commit."
experiment,E02,"Reproduce 12-by-12 Jaccard matrix",reproduced,"evidence/defiformal-taxonomy-metrics-2026-09-02.json","Passed with explicit formulas."
experiment,E03,"Reproduce nearest-neighbor classifications",reproduced,"evidence/defiformal-taxonomy-nn-predictions-2026-09-02.csv","Passed with deterministic tie rules."
experiment,E04,"Reproduce clustering ARI and NMI",reproduced,"evidence/defiformal-taxonomy-metrics-2026-09-02.json","Pinned script results exist; an independent second implementation remains desirable."
experiment,E05,"Reproduce eligible pair rates",reproduced,"evidence/defiformal-composition-rates-2026-09-02.json","Passed with 143 within-family and 1687 cross-family denominators."
experiment,E06,"Reproduce canonicalization laws and self-test",reproduced,"evidence/defiformal-corpus-reconstruction-2026-09-02.json","Passed at pinned DeFiFormal commit."
experiment,E07,"Blinded multi-rater taxonomy study",not-started,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","Prior simulated rules do not count as independent raters."
experiment,E08,"Temporal and held-out taxonomy stability",not-started,"deliverables/moriarty-defi-kernel-deep-research-prompt-2026-09-03.xml","No pinned historical and current sample has been adjudicated."
