contract_type,name,upstream_status,moriarty_disposition,study_status,fixture_count,representative,fixture_files,package_behaviors,capabilities,pitfalls,open_gap,source_locator,dictionary_pointer
ANN,Annuity,Released,planned,requirements-studied; not implemented or vector-tested,32,ann01,repos/actusfrf/actus-tests/tests/actus-tests-ad0.json;repos/actusfrf/actus-tests/tests/actus-tests-ann.json,Annuity recalculation; shared loan state; status/analysis-date initialization,Rate resets,Recompute installment at reset; filename-qualified fixture identity,Initial Prnxt TEX formula contains todo/todo; explicit interpretation required,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1626,/taxonomy/annuity
BCS,Boundary Controlled Switch,Implemented,specified-without-reference-vector,taxonomy disposition only,0,,,Single-boundary activation/extinguishing of child legs,To specify from the named behavior,No invented executable coverage,Retained terms/example are not a complete payoff/state specification,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/boundaryControlledSwitch,/taxonomy/boundaryControlledSwitch
CLM,Call Money,Released,planned,requirements-studied; not implemented or vector-tested,15,clm01,repos/actusfrf/actus-tests/tests/actus-tests-clm.json,Callable loan; notice; accrual/capitalization; horizon,Observed call and maturity,Notice-date shifting; initialization; no assumed natural maturity,PR/PAM reference gap; comparative harness excludes cases,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1763,/taxonomy/callMoney
CAPFL,Cap Floors,Implemented,planned,requirements-studied; not implemented or vector-tested,4,capfl01,repos/actusfrf/actus-tests/tests/actus-tests-capfl.json,Child evaluation with/without cap/floor; payoff/accrual difference,Child state/events; shared observations,Only allowed overrides differ; zero events retained,Absent from surveyed comparative Haskell,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2323,/taxonomy/capFloor
CSH,Cash,Released,planned,requirements-studied; not implemented or vector-tested,4,csh01,repos/actusfrf/actus-tests/tests/actus-tests-csh.json,Signed cash position; analysis event; status progression,Analysis date,Zero payoff still has observable event/state,No package implementation or all-vector execution,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1929,/taxonomy/cash
CEC,Collateral,Implemented,planned,requirements-studied; not implemented or vector-tested,15,collateral01,repos/actusfrf/actus-tests/tests/actus-tests-cec.json,Covered exposure; collateral value cap; credit-triggered settlement,Covered/covering contracts; valuation; default events,Currency/time of valuation; cap; absent credit event,No package implementation or all-vector execution,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2696,/taxonomy/collateral
COM,Commodity,Released,planned,requirements-studied; not implemented or vector-tested,4,com01,repos/actusfrf/actus-tests/tests/actus-tests-com.json,Quantity times unit price; signed purchase/termination; underlying asset,Unit price when external,Preserve quantity and opposite purchase/termination signs,TEX TD points to PRD and STK reuse omits quantity; documented correction supported by fixture/Haskell,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2012,/taxonomy/commodity
BNDCP,Convertible Note,absent,taxonomy-only,taxonomy disposition only,0,,,Bond ceases when call/put exercised,To specify from the named behavior,No invented executable coverage,Convertible Note label conflicts with callable/puttable description,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/convertibleNote,/taxonomy/convertibleNote
CDSWP,Credit Default Swap,Implemented,taxonomy-only,taxonomy disposition only,0,,,Counterparty-default-triggered cash flows,To specify from the named behavior,No invented executable coverage,Upstream Implemented label has no executable vector in retained corpus,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/creditDefaultSwap,/taxonomy/creditDefaultSwap
CLNTE,Credit Linked Note,absent,taxonomy-only,taxonomy disposition only,0,,,Security with embedded credit default swap,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/creditLinkedNote,/taxonomy/creditLinkedNote
EXOTi,EXOTi,absent,taxonomy-only,taxonomy disposition only,0,,,Exotic option family,To specify from the named behavior,No invented executable coverage,Not one sufficiently defined algorithm,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/eXOTi,/taxonomy/eXOTi
ANX,Exotic Annuity,absent,taxonomy-only,taxonomy disposition only,0,,,Irregular or staged annuity,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/exoticAnnuity,/taxonomy/exoticAnnuity
LAX,Exotic Linear Amortizer,Released,planned,requirements-studied; not implemented or vector-tested,18,lax01,repos/actusfrf/actus-tests/tests/actus-tests-lax.json,Array schedules; principal increases/decreases; principal fixing; rate arrays,Rate and behavioral observations,Array lengths; increasing principal; final residual,Absent from surveyed comparative Haskell,repos/actusfrf/actus-techspecs/actus-techspecs.tex:1278,/taxonomy/exoticLinearAmortizer
NAX,Exotic Negative Amortizer,Planned,planned,taxonomy disposition only,0,,,Irregular negative amortization,To specify from the named behavior,No invented executable coverage,No retained executable vector,repos/actusfrf/actus-dictionary/actus-dictionary.json#/taxonomy/exoticNegativeAmortizer,/taxonomy/exoticNegativeAmortizer
FXOUT,Foreign Ex-change Outright,Released,planned,requirements-studied; not implemented or vector-tested,12,fxout01,repos/actusfrf/actus-tests/tests/actus-tests-fxout.json,Two-currency exchange; gross legs or net settlement,FX observation,Currency orientation; net/gross; leg multiplicity,MD vector event versus TEX STD variants unresolved; absent comparative Haskell,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2044,/taxonomy/foreignExchangeOutright
FUTUR,Future,Implemented,planned,requirements-studied; not implemented or vector-tested,14,future01,repos/actusfrf/actus-tests/tests/actus-tests-futur.json,Signed underlying-minus-futures-price settlement,Underlying observation,Negative payoff differs from option positive part,Taxonomy margining breadth not established by current TEX/vector lifecycle,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2476,/taxonomy/future
CEG,Guarantee,Implemented,planned,requirements-studied; not implemented or vector-tested,14,guarantee02,repos/actusfrf/actus-tests/tests/actus-tests-ceg.json,Covered exposure; credit event; coverage; exercise/settlement; fees,Referenced contracts; default events; prices,Exposure time; coverage basis; settlement lag,Comparative harness excludes guarantee14; independent check required,repos/actusfrf/actus-techspecs/actus-techspecs.tex:2541,/taxonomy/guarantee
