id,node_type,disposition,title,user_visible_purpose,claim_ids,source_ids,tradeoff_and_finite_resource_safety,current_moriarty_gap,typescript_style_example,minimal_acceptance_test,confidence,status,test_status
F01,feature,adapt,TypeScript-style external .mori,Recognize declarations and records,UCL02; UCL15,R1; R2; D11,Familiar punctuation can imply wrong host semantics; state exact grammar/profile,Syntax-only profile exists; TS alignment and full semantics open,action pay(paid: Amount<USD>) { ... },Compare clause meaning and repairs across experience groups; reject host JS expressions,medium,PROVISIONAL S2,specified-only; not executed
F02,feature,defer,Inert TypeScript tagged template,Embed canonical source in TS build without callbacks,UCL17,R2; D11,No interpolation or runtime AST escape; bytes and source maps must preserve bounds,No admitted embedding or source-map contract,moriarty.source`action pay(...) { ... }`,Template and file yield identical Core; reject interpolation and oversized source before evaluation,medium,PROVISIONAL S2,specified-only; not executed
F03,feature,reject,Unrestricted TS runtime in contracts,Keep execution and proving finite,SEM-04-L,D11; R1,"No closures, eval, ambient IO, host coercions or dynamic imports in trusted execution",Host witness boundary needs explicit validation,Date.now(); await fetch(url); // excluded,Reject ambient clock/IO and arbitrary callback at source boundary,high,PROVISIONAL S2,specified-only; not executed
F04,feature,adopt,Explicit public financial types,"See asset, amount, share and duty roles",UCL08; UCL15,D10; D14; R5,Nominal units/identities; arithmetic checks additional to type checking,Types parse; full successor checker and nominal binding open,paid: Amount<USD>,Wrong asset/share payment rejects; valid same-unit payment preserves allocation,high,PROVISIONAL S2,specified-only; not executed
F05,feature,adapt,Local inference with visible inferred types,Reduce repeated annotations while preserving meaning,UCL08,D08; R1,No any/unsafe cast; inferred bounds and effects remain inspectable,Local static inference not implemented,let remaining = pre.outstanding - paid;,Explicit/inferred variants same Core; ambiguous units reject; developer repair study,medium,PROVISIONAL S2,specified-only; not executed
F06,feature,adopt,Pure pre-state and staged updates,Predict all changes before acceptance,SEM-01-R; UCL17,D01; D02; R1,No reading tentative next; failure atomicity; ordered diagnostic/effect policy,Proposal/parsing exists; full typed execution remains open,next.outstanding = remaining;,Later guard failure discards tentative state/effects; remaining debt retained,high,PROVISIONAL S2,specified-only; not executed
F07,feature,adapt,Closed typed effects separate from authority,Inspect what an action proposes and permits,SEM-04-R,D08; R1,Effect membership is not spend permission; bind concrete complete effects,Successor effect typing and authority integration open,"emit Transfer { asset: usd, amount: paid, ... };",Right effect but wrong recipient or excess gross debit rejects,high,PROVISIONAL S2,specified-only; not executed
F08,feature,defer,General resumable effect handlers,Avoid hidden multiplicity in financial code,SEM-04-L; UCL06,D08; R1,Multiple resume can duplicate effects/work; single-shot/accounting theorem needed,No financial handler calculus or admitted use case,handle payment with customHandler; // deferred,"Any future handler cannot duplicate nonce, payment or duty; bounded invocation proof",high,PROVISIONAL S2,specified-only; not executed
F09,feature,adapt,Finite event inputs and schedules,Express delayed financial actions explicitly,SEM-01-L; SEM-02-L,D03; D04R; R1,"Bound queue, horizon, observations, ordering and recovery reserve",No successor schedule/observation declaration semantics,on PaymentDue(due: DueObservation) { ... } // proposed,Out-of-order duplicate/stale observation rejected by explicit policy; overflow preserves duty,medium,PROVISIONAL S2,specified-only; not executed
F10,feature,reject,Infinite streams or implicit lifetime reset,Preserve finite admitted financial work,SEM-01-L; SEM-02-L,R1,Productivity/causality not finite lifetime; no unbounded queue or allowance refresh,Lifecycle work conservation still open,subscribe forever; // excluded,Sequence exhausting allowance cannot regain it via continuation/split/join,high,PROVISIONAL S2,specified-only; not executed
F11,feature,adopt,Explicit residual duties and recovery,Know what remains owed after progress,UCL06; SEM-06-L,R1; R5,No duty discard through timeout/cancel/rename; reserve bounded recovery work,Partial financial utilities exist; general residual semantics open,next.outstanding = remaining;,Partial payment plus expiry retains unpaid duty or authorized resolution,high,PROVISIONAL S2,specified-only; not executed
F12,feature,adopt,Checked arithmetic and named rounding,Understand token/share conversion outcomes,UCL15,R1; R5; D11,"Intermediate bounds, scale, zero division and rejection explicit",Some atomic operations; successor rounding names merely parse,"floor_div(numerator, denominator)",Zero divisor/range overflow reject; opposite rounding changes expected share result,high,PROVISIONAL S2,specified-only; not executed
F13,feature,adapt,Structured source diagnostics,Repair underlying financial mistake,UCL11,R2,No unsafe repair suggestions or private witness disclosure; truthful stage status,Syntax codes exist; semantic/proof/ledger diagnostics open,UNIT_MISMATCH: Expected Amount<USD>; found Shares<V>,Measure interpretation and correct next edit separately; no duty-erasing workaround,medium,PROVISIONAL S2,specified-only; not executed
F14,feature,adapt,Content-addressed typed Core and dependencies,Identify exact program and dependency closure,SEM-03-R; UCL20,D06; D07; D14,Full refs/domain separation/nominal IDs; hash not equivalence or authority,No frozen successor Core encoding or semantic identity,dependencies: BoundedList<FullDefinitionRef>,Rename-only and changed dependency have specified different identity behavior,medium,PROVISIONAL S2,specified-only; not executed
F15,feature,adopt,Separate source/build/artifact/claim identities,"Understand what was reviewed, built and proved",SEM-03-L; SEM-05-R,R1; D11,Hash complete immediate inputs; proof context/state/authority separate from code,Source hashes exist; complete cross-layer commitment contract open,"{ sourceDigest, coreDigest, semanticProfile }",Change compiler/profile/verifier/observation; stale cached proof cannot admit new statement,high,PROVISIONAL S2,specified-only; not executed
F16,feature,defer,Unison-style database as primary editor workflow,Keep ordinary source review available first,UCL17; UCL20,D09; D12; D13,Storage/authorship/license/recovery cost; empirical benefit untested,Text workflow already exists; no demonstrated need for replacement,import { quote } from pinnedLibrary; // future syntax,Future workflow must export complete reviewable source/provenance and handle upgrades,medium,PROVISIONAL S2,specified-only; not executed
F17,feature,adopt,Explicit version and migration review,Prevent silent reinterpretation of live duties,SEM-03-L,D12; D14; R1; R5,"Retain old program, claim lineage, nominal identity and authorized migration",No general private/live obligation migration acceptance,migrate oldRef to newRef under authority; // proposed,Alias update cannot change prior obligation; authorized migration conserves duties/work,high,PROVISIONAL S2,specified-only; not executed
F18,feature,adopt,Separate preparation from proof and settlement,Know whether an action actually happened,SEM-01-R,D02; D05; R3,Four mandatory claims plus native/ledger checks; no verified badge from parsing,Partial status flows; full financial acceptance remains open,"{ tag: ""Prepared"", effects, duties, authority, work }",Well-typed/signed proposal with missing mandatory proof fails closed before acceptance,high,PROVISIONAL S2,specified-only; not executed
F19,feature,adopt,Human task evaluation before usability claims,Verify understandable authoring and repair,UCL19; UCL22,R3,"Expert PL votes are design review, not participant evidence",No developer study reproduced here,Compare partial-payment comprehension tasks,Preregister correctness/time/repair/timeout; stratify experience; retain null outcomes,high,PROVISIONAL S2,specified-only; not executed
F20,feature,adopt,Profile-specific grammar and correspondence checks,Keep published syntax and tools consistent,UCL17,R1; R2,Lexing/parsing/formatting separate from typing; stable spans and profile labels,Bounded syntax checks exist; semantic/Core/K/Compact correspondence open,check-syntax versus check versus prove,"Grammar/lexer/parser/formatter/docs agree; formatter preserves AST, later all-layer financial observations",high,PROVISIONAL S2,specified-only; not executed
