requirement_id,source_ids,pdf_locators,taxonomy_dimension,moriarty_requirement,existing_target,sprint_owner,proposed_test,guarantee_boundary,disposition
DT01,SRC-0100;SRC-0101;SRC-0103,"Gogol pp2,16–20 Figs1,4–6; Kotzer p3 TableII; Werner pp3–6",family/mechanism,Retain orthogonal economic families and mandatory behavior facets,F1–F6/P; DA01–DA24,SP01;SP08,TX01–TX12,Classification does not establish constructor completeness,supports-existing-design
DT02,SRC-0100;SRC-0101,Gogol pp16–17 Fig4; Kotzer pp11–13 §VII,asset/claim,Distinct underlying asset and pool/vault/debt receipt; redemption accounting,DA02;DA04;DA17;DA18,SP02;SP08,TX01;TX06,Ownership does not prove numeric conservation,proposed-precision
DT03,SRC-0101;SRC-0103,Kotzer pp3–6 §III; Werner p4 §3.2,funding/collateral/maturity,"Independent collateral ratio, duration, callability and early-liquidation policy",DA05;DA06;DA07,SP07;SP08,TX02;TX05,Zero liquidation is not guaranteed repayment,proposed-precision
DT04,SRC-0101,Kotzer pp4–7 §III-A/IV; p13 §VIII-A/B,rate/clock,"Pinned rate scale, utilization state, accrual interval, reserves and rounding",DA06; ACTUS date policies,SP02;SP07;SP08,TX03,No implicit timestamp/block/slot conversion,proposed-precision
DT05,SRC-0100;SRC-0101;SRC-0103,Gogol pp11–12 §3.3.6; Kotzer p5 §III-B and p7 §IV; Werner p4 §3.2,atomic credit,Enforce principal and fee repayment within admitted atomic operation,DA08,SP03;SP08;SP09,TX04,No block-wide or cross-chain rollback inference,source-ambiguity-retained
DT06,SRC-0101,Kotzer pp3–5 §III-A and p8 §V-C,liquidation/default,"Separate eligibility, actor execution, partial recovery and residual bad debt",DA05;DA07,SP08;SP11,TX05,Liquidation liveness depends on actor and liquidity,proposed-precision
DT07,SRC-0100;SRC-0101,Gogol pp12–13 §3.4; Kotzer pp11–13 §VII,aggregation/strategy,Bound harvest/reinvest/rebalance steps and propagate upstream claim assumptions,DA17;DA18;DA19,SP08;SP10,TX06;TX11,Survey workflow is not normative ERC-4626/7540 conformance,supports-existing-design
DT08,SRC-0100,Gogol pp14–15 §3.6 and p25 §6.3.3,staking/entitlement,"Separate rebasing balance, exchange-rate appreciation and principal/reward split",DA14;DA15,SP08;SP11,TX01 variant;TX06,No fixed peg or slashing-free assumption,proposed-precision
DT09,SRC-0100;SRC-0103,Gogol pp13–14 §3.5; Werner p4 §3.3,stablecoin/claim,"Separate issuance authority, debt, collateral and redemption; retain off-chain backing",DA10;DA16,SP08;SP09,TX02 variant;TX12,Peg and reserve truth remain assumptions,supports-existing-design
DT10,SRC-0102;SRC-0103,"Zhou pp3,6,12; Werner pp2–3 §2.4 and pp6–9 §5",semantic composition,"Bind adapter semantics, callbacks, ordering and complete effects",DA24,SP03;SP08;SP09;SP10,TX07,ABI shape is not behavioral proof,proposed-precision
DT11,SRC-0102;SRC-0103,Zhou pp2–6 Fig2/TablesI–III; Werner pp6–10 §§5–6,threat model,"Record capability/knowledge, layer, cause, trace, violated predicate and outcome",DA20–DA24; security fixtures,SP01;SP11,TX07–TX10,Atomic/economic and layer categories are separate axes,proposed-test-metadata
DT12,SRC-0100;SRC-0102;SRC-0103,"Gogol p22 Algorithm7; Zhou pp6,12; Werner pp8–11 §§5.3/6/7",observation/MEV,Bind feed/time/units/sequence; model manipulation and order exposure,DA20;DA21,SP08;SP09;SP11,TX08;TX09,Authenticity and freshness do not establish price truth,supports-existing-design
DT13,SRC-0101;SRC-0102;SRC-0103,"Kotzer pp13–15 §§VIII/IX; Zhou pp4,6; Werner pp9–11 §§6–7",governance/authority,"Bind authorized versions, liability changes and external operator assumptions",DA09;DA21;DA22,SP08;SP09,TX02;TX09;TX10,Borrowed votes or valid keys do not imply honest governance,supports-existing-design
DT14,SRC-0100;SRC-0102,Gogol p15 §3.7 and p19 Fig6; Zhou pp2–4 Fig2,settlement/topology,"Distinguish independent deployment, cross-chain messages, custody and finality",DA16;DA23;DA24,SP08;SP09;SP10,TX12,"Foreign behavior stays bounded observation, no extra backend",supports-existing-design
