paper,source_locator,original_category,original_meaning,destination,disposition,rationale
P1,Fig1 p2; §2.5 pp6–7,Trading/lending/asset-management/interoperability value propositions,User-facing services,FIN-EXC; FIN-CRE; FIN-MGT; execution facet,refine,Keep the service question; bridge messaging and asset custody are separable from financial exchange.
P1,Fig4 p17; §4.1 pp16–17,Native versus smart-contract tokens,Technology of representation,Asset execution facet,reposition,"Native/contract form does not establish backing, payoff or creditor rights."
P1,Fig4 p17,"Network value, asset-backed, share-like tokens",Source of value and representation mixed in a token tree,Asset/claim facets,split,"Governance demand, claim backing and legal equity need independent fields; an NFT is not necessarily an equity share."
P1,Fig4 p17; §§3.5–3.7 pp13–15,"DAI, wBTC, stETH as synthetics",Referenced-value assets under a broad synthetic class,MON.1+CRE.2; wrapped custody claim; SEC.2,split,"Borrower debt issuance, custodian redemption and slashable reward participation impose different obligations. Preserve the historical broad usage in vocabulary."
P1,Fig5 p18; §4.2 pp17–18,"Liquidity pools, aggregators, synthetic tokens",Claimed universal algorithm grouping,Mechanism; composition/management; asset/issuance facets,reject,"Reject disjoint exhaustiveness, not descriptive usefulness: MetaMorpho allocates pooled lending and issues shares; CLOB matching and conditional payments need not fit a pool or synthetic label."
P1,Fig5 p18 versus §3.1 pp7–8 and §4.2.1 p17,Order book on CeFi branch; other prose admits DEX/CLOB,Mixed venue mechanism and execution/trust placement,EXC.1 + matching/custody/execution/authority facets,refine,A CLOB can operate on a chain or app-chain. Custody and settlement determine dependencies independently of the matching algorithm.
P1,"Fig5 p18; §§3.1,3.3 pp7–11",AMM curves and lending rate models,Pricing functions,Mechanism facet,retain,"Constant product, concentrated liquidity and utilization curves are useful subtype mechanics, not financial peers."
P1,Fig5 p18; §3.4 pp12–13,"Simple lending, leverage borrowing, LP strategies",Ways users deploy capital,User strategy composed from CRE/EXC; managed versions MGT,reposition,A strategy may combine several venues; it is not necessarily a distinct protocol.
P1,Fig6 p19; §4.3 p19,"Single-chain, multi-chain, cross-chain, app-chain",Network architecture,Deployment multiplicity; operation domains; chain specialization,split,An app-chain can also participate in cross-chain operations. Independent deployments do not imply shared state.
P1,Table6 p20; §§5–7 pp20–25,Role×protocol vulnerability matrix,Schematic risk exposure,Function/claim/dependency/actor risk overlay,refine,Replace unconditional nonvulnerable cells with failure predicates and assumptions; source text itself contains exceptions.
P2,TableII p3; §§III–IV pp3–8,Overcollateralized/undercollateralized/zero-liquidation/flash,Loan comparison categories,"CRE.1–3 + collateral ratio, maturity, early-liquidation facets",split,A non-liquidating term loan can be overcollateralized; unsecured credit is not identical to transaction-scoped liquidity.
P2,TableII p3,Loan funding: more/less/none,"Apparently borrower collateral, despite funding label",Collateral/backing facet; capital supplier separately,refine,A flash loan needs liquidity even though the table cell says None. Retain exact source label only in historical transcription.
P2,§III-A pp4–5; §VIII-A/B p13,Linear/kinked/nonlinear rates; block-count/time clocks,Rate-setting and accrual,Mechanism and lifecycle facets,retain,"Record utilization definition, time unit, compounding, rounding and update trigger. Gamma is the written upper segment slope, not an added slope without a convention."
P2,§III-B p5 versus §IV p7,Single transaction versus within-block flash repayment wording,Atomic borrowing and examples,CRE.3 with explicit atomic scope,refine,Use repayment-or-revert transaction semantics supported by consistent passages and normative3156; timestamps do not create a shared rollback scope.
P2,§V-C p8,Liquidation and type I/II bad debt,Collateral shortfall versus uneconomic liquidation,CRE default lifecycle + keeper/economic dependencies,retain,"Eligibility, incentives, eventual sale and recovered value are separate predicates."
P2,§VII pp11–13,Yield farming versus yield aggregators,User strategy versus automation protocol,Strategy object; MGT.1; underlying CRE/EXC,retain,"Container, allocator, mandate and return sources remain separate; aggregation creates no unexplained income."
P2,"§VI pp8–11; TablesIII/VII/VIII pp6,12",Measurements and protocol snapshots,"Address/event sample, then heterogeneous TVL/APY snapshots","Dated empirical evidence, not hierarchy authority",reposition,Main event windows end Jan2024; Jan2025/Aug2022 snapshots and ambiguous APY %per30D are not current comparable yields.
P3,Fig2 p2; §II-A pp2–4,NET/CON/SC/PRO with AUX cross-layer column,System dependency/threat layers,Infrastructure/dependency layer and risk overlay,retain,Do not replace the financial-function taxonomy with attack classes or flatten AUX into a strictly higher layer.
P3,TablesI–II p4; §II-B pp4–5,"K1 public, K2 sequencer, K3 insider; actor capabilities",Knowledge and operational power,Authority/threat actor facets,retain,Information sets are not a simple total ordering; flash borrowing and composition are ordinary capabilities.
P3,TableIII p6; §VI insight4 p12,Permissionless interaction and unsafe dependencies,"ABI camouflage, incompatible behavior, oracle/governance dependencies",Typed acceptance/behavioral-hazard edges,retain,"Interface discovery is a shape test; callbacks, transfer behavior and upgrades require stronger adapter assumptions."
P3,"§III pp5,7; §V pp9–11",Incidents including attacks and accidents,Unexpected loss plus actor/action trace,Event evidence separate from investment loss,refine,Reported incidents and rescue windows are historical observations; available response time does not prove successful prevention.
P4,Fig1 p3; §2 pp2–3,"Primitives: contracts, keepers, oracles, governance",Supporting capabilities,Infrastructure/capability layer,retain,Separate observation and activation from the financial duty being executed.
P4,§§3.1–3.5 pp3–5,"Exchange, loanable funds, stablecoins, portfolio management, derivatives",Operation-defined families,EXC; CRE; MON; MGT; DER,refine,Preserve recognizable functions; add capital formation/security capital/loss allocation navigation; subtype mechanisms separately.
P4,§3.6 p5,Privacy-preserving mixers,Privacy service as operational type,Privacy capability applied to MON/EXC/other functions,reposition,"Concealment changes information and authorization boundaries, not necessarily financial payoff."
P4,§4 pp5–6,"G_ON, G_OFF and on-chain estimates of external truth",Information available to property evaluation,Observation provenance and oracle/external-claim boundary,retain,Ledger state or verified computation does not itself prove an external asset exists or an external price is truthful.
P4,"§§5–6 pp6–11; Figs2–3 pp6,9",Technical versus economic security,"Atomic exploitation versus strictly non-atomic, exposed strategies",Atomicity/exposure risk dimension,retain,Oracle or governance attacks can be on either side. Do not translate into code risk versus market risk.
P4,§7 pp12–13; AppB p17,"Composability, governance, oracles, MEV, analysis, privacy",Research boundaries and implementation failures,Dependency/authority/evidence overlays,retain,A model-relative proof and an economically robust deployed composition remain distinct claims.
