corpus_ordinal,legacy_id,legacy_category,protocol,elements,construction_status,recommended_family,secondary_families,subtype,facets,moriarty_kernel,family_pattern_id,legacy_pattern_id,mapping_basis,source_commit,source_file
1,D01,Spot DEX / AMM,Uniswap,Cp|Sh|Tp|Fl|Cl|Fd|Tg,included,F1,,exchange_or_amm,price_discovery:pool,yes,exchange.constant_product_swap,exchange.bounded_batch_swap,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
2,D01,Spot DEX / AMM,PancakeSwap,Cp|Sh|Cl|Fl|Em|Fd|Tg|Up,included,F1,,exchange_or_amm,price_discovery:pool,yes,exchange.constant_product_swap,exchange.bounded_batch_swap,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
3,D01,Spot DEX / AMM,Curve,St|Sh|Tp|Em|Ve|Fd|Tg|Ag,included,F1,,exchange_or_amm,price_discovery:pool,yes,exchange.constant_product_swap,exchange.bounded_batch_swap,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
4,D01,Spot DEX / AMM,Raydium,Cp|Sh|Cl|Em|Fd|Up,included,F1,,exchange_or_amm,price_discovery:pool,yes,exchange.constant_product_swap,exchange.bounded_batch_swap,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
5,D01,Spot DEX / AMM,Fluid,Cl|Sh|Pl|Ct|Li|Ex|Tg|Up|Gp,included,F1,F2,amm_lending_hybrid,collateral:over_collateralized,yes,exchange.constant_product_swap,exchange.bounded_batch_swap,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
6,D02,Lending,Aave V3,Pl|Ix|Rb|Ct|Ex|Li|Fl|Im|Em|Bs|Sl|Cd|Xm|Fd|Up|Tg|Gp,included,F2,,collateralized_credit,collateral:over_collateralized,yes,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
7,D02,Lending,Morpho,Im|Pl|Sh|Ix|Ct|Ex|Li|Fl|Sl|Aw|Sv|Em|Tg|Gp,included,F2,,isolated_credit_vault,collateral:over_collateralized|mandate:bounded,yes,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
8,D02,Lending,SparkLend,Pl|Ix|Rb|Ct|Ex|Li|Fl|Im|Em|Up|Tg|Gp,included,F2,,collateralized_credit,collateral:over_collateralized,yes,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
9,D02,Lending,JustLend V1,Pl|Sh|Ix|Ct|Ex|Li|Em|Up|Gp,included,F2,,collateralized_credit,collateral:over_collateralized,yes,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
10,D02,Lending,Maple,Pl|Sh|Ix|Aw|Uc|Ft|Ct|Sv|Wq|At|Ex|Li|Em|Up|Tg|Gp,included,F2,F5,private_credit,legal:rwa|mandate:delegate,no,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
11,D02,Lending,Compound V3,Im|Pl|Ix|Rb|Ct|Ex|Li|Sl|Em|Up|Tg|Gp,not_in_60_suite,F2,,collateralized_credit,collateral:over_collateralized,yes,credit.overcollateralized_loan,credit.collateralized_term_loan,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
12,D03,CDP / collateral-backed stablecoins,"Sky (Sky Lending, ex-MakerDAO)",Cd|Ct|Ex|Li|Ix|Ps|Sl|At|Fd|Em|Xf|Up|Tg|Gp,included,F2,,collateralized_debt_issuer,collateral:issued_claim,yes,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
13,D03,CDP / collateral-backed stablecoins,Ethena (USDe / sUSDe),Sh|Ix|Rd|Aw|At|Ex|Wq|Tr|Bs|Dp|Fz|Xf|Em|Up|Tg|Gp,included,F2,F3,derivative_hedged_issuer,custody:offchain|oracle:price,no,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
14,D03,CDP / collateral-backed stablecoins,USDD,Cd|Ct|Ex|Li|Ix|Ps|Sl|At|Em|Xf|Up|Tg|Gp,included,F2,,collateralized_debt_issuer,collateral:issued_claim,yes,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
15,D03,CDP / collateral-backed stablecoins,Lista CDP,Cd|Ct|Ex|Li|Ix|Ps|Sl|Em|Up|Tg|Gp,included,F2,,collateralized_debt_issuer,collateral:issued_claim,yes,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
16,D03,CDP / collateral-backed stablecoins,Liquity (V1 + V2),Cd|Ct|Rd|Bs|Sl|Li|Ex|Em|Fd,included,F2,,collateralized_debt_issuer,collateral:issued_claim,yes,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
17,D03,CDP / collateral-backed stablecoins,crvUSD,Cd|Ct|Tp|Cl|Li|As|Ve|Fd|Up|Tg|Gp,not_in_60_suite,F2,,collateralized_debt_issuer,collateral:issued_claim,yes,credit.overcollateralized_loan,money.collateralized_debt_position,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
18,D04,Liquid staking & restaking,Lido,Vl|Sh|Rb|Ex|Ep|Wq|Sl|Bs|Fd|Em|Up|Tg|Gp,included,F4,,consensus_position_claim,validator_lifecycle:external,yes,consensus.liquid_staking_claim,stake.delegation_receipt,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
19,D04,Liquid staking & restaking,Binance staked ETH (WBETH),Sh|Ix|Rd|Aw|Up,included,F4,,custodial_consensus_claim,custody:offchain|validator_lifecycle:external,no,consensus.liquid_staking_claim,stake.delegation_receipt,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
20,D04,Liquid staking & restaking,EigenCloud (EigenLayer),Rs|Sh|Bs|Sl|Ep|Wq|Aw|Vl|Em|Up|Tg|Gp,included,F4,,consensus_position_claim,validator_lifecycle:external,yes,consensus.liquid_staking_claim,stake.delegation_receipt,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
21,D04,Liquid staking & restaking,ether.fi (eETH / weETH),Vl|Rs|Rb|Sh|Wq|Ex|Ep|Bs|Sl|Tr|Em|Up|Tg|Gp,included,F4,,consensus_position_claim,validator_lifecycle:external,yes,consensus.liquid_staking_claim,stake.delegation_receipt,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
22,D04,Liquid staking & restaking,Babylon Protocol,Rs|Bs|Sl|Vl|Ep|Wq|Xm|Aw|Em,included,F4,,consensus_position_claim,validator_lifecycle:external,yes,consensus.liquid_staking_claim,stake.delegation_receipt,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
23,D05,Perpetuals / derivatives,Hyperliquid,Ob|Ct|Ex|Pf|Li|Ad|Sl|Sh|Bs|Vl|Xf|Xm|Wq|Gp,included,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
24,D05,Perpetuals / derivatives,ApeX Protocol (ApeX Omni),Ob|Ct|Ex|Pf|Li|Sh|Bs|Xf|Xm|Em|Up|Tg,included,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
25,D05,Perpetuals / derivatives,Aster,Ob|Pm|Sh|Ct|Ex|Pf|Li|Xf|Em|Up|Gp,included,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
26,D05,Perpetuals / derivatives,Lighter,Ob|Ct|Ex|Pf|Li|Ad|Sh|Xf|Xm|Wq|Em|Up|Gp,included,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
27,D05,Perpetuals / derivatives,edgeX,Ob|Ct|Ex|Pf|Li|Sh|Bs|Xf|Xm|Em|Up|Gp,included,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
28,D05,Perpetuals / derivatives,Jupiter Perpetual Exchange,Pm|Sh|Ex|Ct|Sr|Li|Up|Gp,not_in_60_suite,F3,,perpetual_derivative,oracle:price,yes,derivative.escrowed_option,derivative.finite_horizon_perpetual,user-supplied repository-verified updated run; roster and internal counts independently reproduced at the pinned source commit,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane2-perps-yield-bridges-intents.json
