repository	classification	archived	language	default_branch	default_head	default_head_date	latest_meaningful_sha_heuristic	latest_meaningful_date_heuristic	latest_meaningful_message_heuristic	pushed_at_any_branch	releases	latest_release	tags_captured	branches_captured	open_issues_excluding_prs	open_pulls	contributors_captured	size_kib	description	classification_basis
.github	infrastructure or deployment support	false		main	b886a186549ee20d3d3c9e90aceb8a7d960532a7	2025-02-21T20:19:45Z	b886a186549ee20d3d3c9e90aceb8a7d960532a7	2025-02-21T20:19:45Z	Update README.md	2025-02-21T20:19:45Z	0		0	1	0	0	3	95		Organization profile, transition, and shared governance files.
MIPs	maintenance-only	false		main	823c310b5568cf0a0aa802dfdee0bfd3e8260d0b	2022-07-30T15:04:08Z	823c310b5568cf0a0aa802dfdee0bfd3e8260d0b	2022-07-30T15:04:08Z	Fixed table formatting.	2024-02-24T12:18:34Z	0		0	6	0	2	1	86	Marlowe Improvement Proposals	Improvement-proposal process with old default branch and several unmerged proposal branches.
actus-core	active and authoritative	false	Haskell	main	42451170dc61c5c11c4144bd5a69046f149e8016	2025-12-25T21:06:59Z	b9efc75c8d8aeb937fd0df9e90aacc771bbbe54c	2023-09-19T09:37:22Z	Create COPYING	2025-12-25T21:07:52Z	0		0	2	0	1	3	156	Implementation of the ACTUS taxonomy	Current Haskell implementation of the ACTUS taxonomy; a library, not Marlowe semantics.
admin	maintenance-only	false		main	74b044eeec8c47e6321e3d34ee68206b064e7754	2024-10-15T18:09:07Z	74b044eeec8c47e6321e3d34ee68206b064e7754	2024-10-15T18:09:07Z	Add meeting notes	2024-10-15T18:28:27Z	0		0	3	0	2	1	22	Meeting notes and planning	Community administration, meeting, and planning material.
awesome-marlowe	demonstration/example material	false	Jupyter Notebook	main	30069b83a1bcc8c99188907f5c634df37a7c00f1	2024-01-24T12:37:45Z	30069b83a1bcc8c99188907f5c634df37a7c00f1	2024-01-24T12:37:45Z	PLT-9218 Merged real-world-marlowe and marlowe-hackathons into `contracts/` folder (#5)	2024-01-24T12:38:13Z	0		0	3	0	0	4	19879	A collection of Marlowe resources, tutorials and examples	Curated links and copied examples; not normative and not a current-service registry.
marlowe	formal specification	false	Isabelle	master	7b5b1e900ec53a8eb18747992bec73470704dfcb	2026-05-26T10:12:40Z	eae6eb970b43351e7969dafcd86e8e2ba14903c7	2025-12-25T18:47:56Z	Enable nixpkgs-fmt precommit hook	2026-05-28T07:31:31Z	3	v3	11	29	25	6	22	89440	Prototype implementation of domain-specific language for the design of smart-contracts over cryptocurrencies	Isabelle V1 semantics, generated Haskell, analysis, and specification tests; authority must be scoped per artifact.
marlowe-actus-labs	demonstration/example material	false	PureScript	main	472cc60319b079abfd3a367dc55a6012ad867b39	2023-09-19T09:37:23Z	472cc60319b079abfd3a367dc55a6012ad867b39	2023-09-19T09:37:23Z	Create COPYING	2023-09-19T09:37:23Z	0		0	11	0	0	4	6188	Deploy ACTUS contracts on Cardano from your web browser	Browser laboratory for ACTUS-derived Marlowe contracts.
marlowe-agda	formal specification	false	Nix	main	44bb6ddd6bf5f1af7b062c4dc666131f9c517310	2025-02-19T08:48:46Z	44bb6ddd6bf5f1af7b062c4dc666131f9c517310	2025-02-19T08:48:46Z	Github workflows (#10)	2025-02-19T08:48:49Z	0		0	4	1	0	4	382	Marlowe language specification	Experimental Agda semantics and proof work; no released/deployed authority found.
marlowe-cardano	maintenance-only	false	Haskell	main	99f432d8ef9dbd1b52b7fa089254de15913b490f	2024-12-02T18:07:50Z	acd2086aa98a8aba1a162c829f4f94f7ad306708	2024-10-20T18:18:34Z	Update CHaP	2025-12-28T19:51:15Z	10	runtime@v1.0.0	57	151	6	11	113	166693	Marlowe smart contract language Cardano implementation	Deployed-era V1 implementation and full Runtime lineage; active modernization moved to marlowe-plutus branches.
marlowe-cardano-minimal	archived	true	Haskell	main	7c96fd7369d5a31aaf0cfacb60b9183e2de46ae4	2023-09-19T09:28:16Z	7c96fd7369d5a31aaf0cfacb60b9183e2de46ae4	2023-09-19T09:28:16Z	Create COPYING	2023-09-19T09:28:16Z	0		0	1	0	0	27	16422	Experimental version of Marlowe validators with minimal dependencies on other Haskell pacakges	Archived minimal-validator experiment.
marlowe-deploy	infrastructure or deployment support	false	Nix	master	d5a4263d3a2160bb5f3a5092f076b9c0cabc12f3	2025-03-11T17:16:38Z	d5a4263d3a2160bb5f3a5092f076b9c0cabc12f3	2025-03-11T17:16:38Z	Add documentation website and README	2025-12-01T20:33:04Z	0		0	4	0	0	2	400	Deployments for the marlowe project	Nix deployment definitions and network configuration.
marlowe-doc	maintenance-only	false	MDX	main	ee8601170371d163224a86c86e3a2a9728fc640e	2025-03-11T12:19:41Z	ee8601170371d163224a86c86e3a2a9728fc640e	2025-03-11T12:19:41Z	Update playground.md (#212)	2025-03-11T17:12:51Z	0		0	8	1	0	12	75486	Documentation of the Marlowe language and ecosystem	Documentation source; live pages and artifacts show drift and require version reconciliation.
marlowe-hydra-poc	active but experimental	false	Nix	main	f3323be126a5fd460053f0cb18c46a5cafcb8e00	2023-09-19T09:28:13Z	f3323be126a5fd460053f0cb18c46a5cafcb8e00	2023-09-19T09:28:13Z	Create COPYING	2023-09-19T09:28:13Z	0		0	3	2	0	3	92	Run Marlowe on a Hydra head.	Hydra proof of concept; not production-backed portability evidence.
marlowe-lambda	superseded	true	JavaScript	main	5a1dc88ee6cbcb569880bf1fdcbcec2b98e704f0	2023-02-07T15:27:54Z	5a1dc88ee6cbcb569880bf1fdcbcec2b98e704f0	2023-02-07T15:27:54Z	Deprecated repository.	2023-02-07T15:27:54Z	0		0	2	0	0	1	283	A Marlowe Runtime client for AWS Lambda. This package has been deprecated and is no longer maintained. Please use https://github.com/input-output-hk/marlowe-cardano/tree/main/marlowe-runtime/web-server-app instead.	Archived and explicitly replaced by the Runtime web server app.
marlowe-oracle-protocol	active but experimental	false	CSS	main	8d4bcd3128e230cff0b29e2010e808ae287f1600	2026-08-31T17:58:39Z	8d4bcd3128e230cff0b29e2010e808ae287f1600	2026-08-31T17:58:39Z	Add feedback log for the two Cardano oracles	2026-08-31T17:59:20Z	0		0	2	0	0	2	681		Actively developed oracle protocol/CIP work; extension-layer proposal, not deployed core semantics.
marlowe-order-book-swap	demonstration/example material	false	TypeScript	main	4f2ff9f95b6c0c1574e15809d0ae3efbc37a2ab0	2024-01-22T14:01:38Z	4f2ff9f95b6c0c1574e15809d0ae3efbc37a2ab0	2024-01-22T14:01:38Z	hotfix: retract when swap is not started	2024-01-22T14:01:41Z	0		0	2	1	0	3	518		Prototype order-book swap application.
marlowe-payouts	demonstration/example material	false	SCSS	main	a23105d8cd95ebfbc301d8227d6174c3c0c883d2	2024-01-22T07:08:09Z	a23105d8cd95ebfbc301d8227d6174c3c0c883d2	2024-01-22T07:08:09Z	[ci skip] deploy from 704eb8a9	2024-01-22T07:08:10Z	0		0	4	3	2	9	1033	Generic Payouts Withdrawal Prototype Over for Marlowe Technology	Generic payout withdrawal prototype.
marlowe-playground	maintenance-only	false	PureScript	main	6b936069dc986e63d187fabd713a669bbfc894b6	2024-05-22T05:39:56Z	4874b5356f9aa5dcea7f1cb7ddad506969125ef3	2024-05-01T14:01:47Z	NixOS: Fix oauth callback invocation	2025-03-17T00:59:42Z	0		0	29	8	11	108	161165		Legacy visual/text authoring application; dependency activity is not feature evolution.
marlowe-plutus	active but experimental	false	Haskell	main	581e95bb9c93a16dc5c9a3181e90abed4639f728	2024-03-11T09:39:54Z	581e95bb9c93a16dc5c9a3181e90abed4639f728	2024-03-11T09:39:54Z	added aarch64-linux in flake.nix (#16)	2026-08-31T18:28:52Z	0		0	19	7	1	4	2243	Plutus validators for the Marlowe financial contract DSL	Default validator repository plus unreleased 2026 migration/Runtime work on feature branches.
marlowe-runner	maintenance-only	false	PureScript	main	e3c4cdfecfb80d7555cfbdce61416d7f6e7a1e1f	2025-12-18T21:37:33Z	f6b03c7e0952bfc5ba39c9f27378927c565ead69	2025-12-18T20:48:47Z	Fix runner so it works. Start porting integration to the client lib	2026-04-30T21:11:56Z	0		3	23	0	1	12	38510	A simple app which allows you to deploy and progress through Marlowe contract on Cardano.	Runtime-dependent browser application; recent work is largely dependency/release maintenance.
marlowe-runtime-ng	unclear	false		main	87374b266300724400fff91093e4ade598b2f546	2026-01-03T09:42:05Z	87374b266300724400fff91093e4ade598b2f546	2026-01-03T09:42:05Z	Initial commit	2026-01-03T09:42:05Z	0		0	1	0	0	1	1	Lightweight Marlowe Runtime	One-commit placeholder; implementation work is instead visible on marlowe-plutus feature branches.
marlowe-scan	maintenance-only	false	Haskell	master	38aa29a79e7fd256d54efab1d25ce49f1f932805	2024-05-16T16:43:57Z	38aa29a79e7fd256d54efab1d25ce49f1f932805	2024-05-16T16:43:57Z	Runtime v1.0.0 integration (#57)	2024-05-16T16:43:58Z	1	0.1.0-beta	1	1	0	0	2	171	A web tool to view on-chain Marlowe contracts in terms of the Marlowe language	Runtime-dependent explorer supporting Runtime 0.0.4 through 1.0.0.
marlowe-starter-kit	demonstration/example material	false	Jupyter Notebook	main	0a4cdce0e6283e27e76377e8308764f32ac16107	2023-12-13T15:00:01Z	266fd62042a5e07e50d59db207811a2c3d0282e9	2023-12-13T14:58:44Z	Update notebook image	2024-05-11T12:15:07Z	0		6	14	1	0	10	6216	This repository contains lessons for using Marlowe via REST and at the command line. It is meant to be used with demeter.run or with a Docker deployment of Marlowe Runtime.	Tutorial notebooks for REST and CLI workflows.
marlowe-token-plans	active but experimental	false	SCSS	main	38f6f9116430e27fafc1d7197442e08eeed7cf4f	2024-05-11T13:39:13Z	38f6f9116430e27fafc1d7197442e08eeed7cf4f	2024-05-11T13:39:13Z	Add NixOS level service module (#38)	2026-04-30T12:56:28Z	0		0	35	3	1	10	1092	Token Plans Prototype Over Marlowe Technology	Token-plan/vesting application prototype.
marlowe-ts-dapp-swap	archived	true	TypeScript	main	5be71ac48c8584cb3fa1f7d7672ccb72d8643bed	2023-09-19T09:28:12Z	5be71ac48c8584cb3fa1f7d7672ccb72d8643bed	2023-09-19T09:28:12Z	Create COPYING	2023-09-19T09:28:12Z	0		0	6	0	2	2	1191	Experiments on Marlowe Smart Contracts	Archived TypeScript swap experiment.
marlowe-ts-sdk	client library	false	TypeScript	main	1242de8946046ac6a735bf550512b72ff37b5265	2024-05-20T07:47:23Z	84238aac77a2980111e116d5c43f885f3473da17	2024-05-20T07:45:51Z	fixed Roles Configuration Documentation	2025-03-26T12:00:20Z	5	0.4.0-beta	8	16	26	0	10	32048	Marlowe TypeScript SDK	V1 TypeScript language/Runtime SDK; newer work exists on beta branches but no V2 core release found.
marlowe-website	active and authoritative	false	MDX	main	72d9394b497179678ebe07d932056a6177adec47	2026-04-28T08:02:15Z	72d9394b497179678ebe07d932056a6177adec47	2026-04-28T08:02:15Z	Add V2 sessions entries	2026-04-28T08:02:56Z	0		0	2	0	0	1	1396	marlowe-lang.org website	Current project website and V2 workshop report; descriptive/proposal authority only.
purescript-bridge-json-helpers	superseded	false	Nix	main	486db9ee62882baa42cca24f556848c5f6bec565	2023-09-19T09:28:09Z	486db9ee62882baa42cca24f556848c5f6bec565	2023-09-19T09:28:09Z	Create COPYING	2023-09-19T09:28:09Z	0		0	1	1	0	2	44	Helpers for argonaut encoders and decoders generated by purescript-bridge	Legacy PureScript bridge helper used by the prior web stack.
purescript-cardano-multiplatform-lib	superseded	false	PureScript	main	d06bdedf43a46f27484c040e7f30f213bebe2396	2023-12-11T10:06:02Z	d06bdedf43a46f27484c040e7f30f213bebe2396	2023-12-11T10:06:02Z	Add UTxOValue	2023-12-11T10:06:35Z	0		2	1	1	0	3	57		Legacy PureScript Cardano binding layer.
purescript-cardano-wallet-client	superseded	false	PureScript	main	d6c4be8bc24d285e700264ad29cf6b6b7623c6ed	2023-11-24T11:47:45Z	d6c4be8bc24d285e700264ad29cf6b6b7623c6ed	2023-11-24T11:47:45Z	Make error parsing more robust	2023-11-24T11:48:39Z	0		3	1	0	0	3	349		Legacy PureScript wallet client.
purescript-datetime-iso	superseded	false	Nix	master	a5de49e1e4b75d1731b7ec08e07f94eb6985d452	2022-08-22T13:53:55Z	e5763c3b5266729b4427534d4385a2bef173c62e	2022-08-22T13:49:15Z	Upgrade to PS 15	2022-08-22T13:53:56Z	0		7	2	0	0	6	46	📆 🕒 PureScript library for serializing datetimes in simplified extended ISO format.	Small legacy PureScript serialization utility.
purescript-markdown	superseded	false	PureScript	master	3c5536d5cad663c0912bae89205dd1c8934d525b	2022-08-22T14:15:32Z	538cb7e09548529236f9bb93cbd12c2cc6cc3183	2022-08-22T14:13:13Z	Upgrade to PS 15	2022-08-22T14:15:32Z	0		38	2	0	0	13	264	A Purescript library for parsing SlamData's dialect of Markdown.	Small legacy PureScript Markdown library.
purescript-marlowe	client library	false	PureScript	main	2adbe4da6124638de51d347bf5b807bb0b3813e6	2025-12-18T20:41:28Z	2adbe4da6124638de51d347bf5b807bb0b3813e6	2025-12-18T20:41:28Z	Expose better JSON patching functions (BigInt support)	2025-12-18T20:42:12Z	0		1	6	1	2	4	191	PureScript implementation of the Marlowe smart contract lanugage	PureScript V1 language implementation used by the legacy application stack.
purescript-marlowe-runtime-client	client library	false	PureScript	main	6730038ca8a66496f0fb075b3ed48c99a60b6366	2023-12-20T12:50:56Z	6730038ca8a66496f0fb075b3ed48c99a60b6366	2023-12-20T12:50:56Z	Fix and improve API error handling	2025-12-18T20:44:59Z	0		24	2	1	0	3	258		PureScript Runtime client used by the legacy application stack.
purescript-web-common	superseded	false	PureScript	main	fd15741e597bfde67fb8f507e2d9a8bcd29901d5	2023-09-19T09:37:26Z	fd15741e597bfde67fb8f507e2d9a8bcd29901d5	2023-09-19T09:37:26Z	Create COPYING	2023-09-19T09:37:26Z	13	v2.0.1	24	4	0	0	5	330	Shared library for web development.	Shared legacy PureScript web utilities.
real-world-marlowe	archived	true	Jupyter Notebook	main	a288a9f391e68135e59e65a813db695e6223472d	2024-01-24T12:35:39Z	a288a9f391e68135e59e65a813db695e6223472d	2024-01-24T12:35:39Z	Update ReadMe.md	2024-01-24T12:35:39Z	0		0	6	0	0	10	23895	Example Marlowe Contracts	Archived gallery and application examples; adoption claims need independent chain evidence.
