corpus_ordinal,lane,legacy_id,legacy_category,protocol,rank_basis,element_count,elements,residue_count,forced_count,order_known,construction_status,construction_app,construction_spec,construction_match_basis,product_family,instrument_family,mechanism_family,trust_facets,disposition,mapping_status,canonical_pattern_id,mapping_basis,source_commit,source_file
1,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D01,Spot DEX / AMM,Uniswap,"$3,058.0M TVL (V3 $1,449.0M + V4 $821.9M + V2 $784.1M), DefiLlama 2026-08-04, rank 1 of category 'Dexs'",7,Cp|Sh|Tp|Fl|Cl|Fd|Tg,5,3,true,included,Uniswap,expansion/01-spot-exchange/specs/uniswap.json,normalized_exact,PF-EXCH,IN-SPOT,ME-AMM|ME-BOOK|ME-RFQ,,rename_narrow,category_level_draft,exchange.bounded_batch_swap,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
2,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D01,Spot DEX / AMM,PancakeSwap,"$2,049.0M TVL (AMM v2 $1,684.2M + v3 $288.0M + Infinity $73.1M), DefiLlama 2026-08-04, rank 2",8,Cp|Sh|Cl|Fl|Em|Fd|Tg|Up,3,1,true,included,PancakeSwap,expansion/01-spot-exchange/specs/pancakeswap.json,normalized_exact,PF-EXCH,IN-SPOT,ME-AMM|ME-BOOK|ME-RFQ,,rename_narrow,category_level_draft,exchange.bounded_batch_swap,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
3,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D01,Spot DEX / AMM,Curve,"$1,277.0M TVL (Curve DEX), DefiLlama 2026-08-04, rank 3",8,St|Sh|Tp|Em|Ve|Fd|Tg|Ag,5,4,true,included,Curve,expansion/01-spot-exchange/specs/curve.json,normalized_exact,PF-EXCH,IN-SPOT,ME-AMM|ME-BOOK|ME-RFQ,,rename_narrow,category_level_draft,exchange.bounded_batch_swap,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
4,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D01,Spot DEX / AMM,Raydium,"$819.1M TVL (Raydium AMM), DefiLlama 2026-08-04, rank 4",6,Cp|Sh|Cl|Em|Fd|Up,3,2,true,included,Raydium,expansion/01-spot-exchange/specs/raydium.json,normalized_exact,PF-EXCH,IN-SPOT,ME-AMM|ME-BOOK|ME-RFQ,,rename_narrow,category_level_draft,exchange.bounded_batch_swap,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
5,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D01,Spot DEX / AMM,Fluid,"$283.0M TVL (Fluid DEX component only; Fluid's lending arm is a separate $663.8M entry in 'Lending'), DefiLlama 2026-08-04, rank 5",9,Cl|Sh|Pl|Ct|Li|Ex|Tg|Up|Gp,4,2,false,included,Fluid,expansion/01-spot-exchange/specs/fluid.json,normalized_exact,PF-EXCH,IN-SPOT,ME-AMM|ME-BOOK|ME-RFQ,,rename_narrow,category_level_draft,exchange.bounded_batch_swap,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
6,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,Aave V3,"$14,358.6M TVL (parent aggregate; Aave V3 alone $14,027.0M), DefiLlama 2026-08-04, rank 1 of category 'Lending'",17,Pl|Ix|Rb|Ct|Ex|Li|Fl|Im|Em|Bs|Sl|Cd|Xm|Fd|Up|Tg|Gp,6,4,true,included,Aave V3,expansion/02-lending/specs/aave-v3.json,normalized_exact,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
7,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,Morpho,"$7,665.5M TVL (Morpho Blue $7,663.5M), DefiLlama 2026-08-04, rank 2",14,Im|Pl|Sh|Ix|Ct|Ex|Li|Fl|Sl|Aw|Sv|Em|Tg|Gp,5,3,true,included,Morpho,expansion/02-lending/specs/morpho.json,normalized_exact,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
8,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,SparkLend,"$3,636.9M TVL, DefiLlama 2026-08-04, rank 3",12,Pl|Ix|Rb|Ct|Ex|Li|Fl|Im|Em|Up|Tg|Gp,3,1,true,included,SparkLend,expansion/02-lending/specs/sparklend.json,normalized_exact,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
9,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,JustLend V1,"$3,385.2M TVL, DefiLlama 2026-08-04, rank 4",9,Pl|Sh|Ix|Ct|Ex|Li|Em|Up|Gp,3,2,true,included,JustLend V1,expansion/02-lending/specs/justlend-v1.json,normalized_exact,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
10,Spot DEX/AMM; Lending; CDP & collateral-backed stablecoins; Liquid staking & restaking,D02,Lending,Maple,"$2,262.7M TVL, DefiLlama 2026-08-04, rank 5",16,Pl|Sh|Ix|Aw|Uc|Ft|Ct|Sv|Wq|At|Ex|Li|Em|Up|Tg|Gp,5,4,true,included,Maple,expansion/02-lending/specs/maple.json,normalized_exact,PF-CREDIT,IN-DEBT,ME-DEBT|ME-COLL,,preserve_rename,category_level_draft,credit.collateralized_term_loan,user-supplied M4+ report; checked against locally accessible DeFiFormal roster,8ae0bbfaa3193078d1cabf6999db1382985b7f95,corpus50/lanes/lane1-dex-lending-cdp-lsd.json
