id,name,parents,definition,inclusion_test,exclusion_test,neighbors,mechanisms,asset_position_types,principal_dependencies,representative_implementations,relevant_standards,source_refs,classification_kind,confidence,verified_at,cutoff
FIN-MON,"Money, payments and escrow",[],Create money-like liabilities or discharge/secure payment obligations.,"A unit targets monetary use, or a service undertakes payment delivery as its financial purpose.",Incidental transfers inside another function do not add a payment-service label. Trading the unit is exchange; external backing is a facet.,"[""FIN-CRE"", ""FIN-EXC""]","[""issuance/redemption"", ""conditional transfer"", ""streaming""]","[""money-like liability"", ""payment entitlement""]","[""reserves"", ""custodians"", ""peg liquidity"", ""governance"", ""payer funding"", ""cancellation authority"", ""clock"", ""transfer behavior"", ""arbiter"", ""timeouts"", ""counterparty fulfillment"", ""finality""]","[""Maker Vat/Dai"", ""Sablier Lockup"", ""Across SpokePool deposit (trade leg)""]","[""ERC-20"", ""ERC-3643"", ""ERC-7943"", ""ERC-721"", ""ERC-2612"", ""ERC-3009"", ""ERC-1271"", ""ERC-5164""]","[""P1 \u00a73.5 pp13\u201314; P4 \u00a73.3 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-EXC,Exchange and trade execution,[],Exchange existing exposures and organize price discovery or execution for traders.,"A service matches, prices, routes or settles a trade.",Primary capital raising adds CAP; writing a derivative adds DER.,"[""FIN-CAP"", ""FIN-DER""]","[""AMM"", ""order book"", ""RFQ"", ""batch auction"", ""solver routing""]","[""spot balances"", ""LP inventory claim"", ""execution order""]","[""price impact"", ""adverse selection"", ""ordering"", ""token behavior"", ""solver competition"", ""authorization"", ""venue adapters"", ""chain finality""]","[""Uniswap V3 pool"", ""Osmosis pool"", ""CoW settlement"", ""Across SpokePool""]","[""ERC-20"", ""ERC-721"", ""ERC-6909"", ""ERC-7683"", ""EIP-712"", ""ERC-1271"", ""ERC-2612"", ""ERC-3009""]","[""P1 \u00a73.1 pp7\u201310; P4 \u00a73.1 pp3\u20134""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CRE,Credit and financing,[],Advance purchasing power subject to repayment or agreed collateral/default resolution.,A lender or issuer creates a repayment obligation.,A token price target alone does not imply credit; allocating to loans adds MGT.,"[""FIN-MON"", ""FIN-MGT"", ""FIN-DER""]","[""inventory lending"", ""debt issuance"", ""margin"", ""underwriting"", ""liquidation""]","[""receivable"", ""debt position"", ""lender share""]","[""oracle"", ""underwriting"", ""collateral sale liquidity"", ""default waterfall"", ""collateral appraisal"", ""mint authority"", ""liquidation"", ""monetary feedback"", ""callback"", ""initiator identity"", ""fee"", ""approved asset"", ""atomic scope""]","[""Aave V3 market"", ""Morpho Blue market"", ""Maple loan"", ""Maker Vat/Dai"", ""Aave V3 flashLoan"", ""Uniswap flash behavior""]","[""ERC-20"", ""ERC-4626"", ""ERC-3525"", ""ERC-3475"", ""ERC-7092"", ""ERC-3156""]","[""P2 \u00a7\u00a7III\u2013V pp3\u20138; P4 \u00a73.2 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-CAP,Capital formation,[],"Raise resources for an issuer, venture or collective through primary issuance or contributions.",Resources pass to an issuer/project under a primary funding arrangement.,Secondary trading is EXC; passive treasury allocation is MGT; ordinary incentive distribution alone is neither.,"[""FIN-EXC"", ""FIN-CRE"", ""FIN-MGT""]","[""subscription"", ""issuance auction"", ""bonding curve"", ""conditional crowdfunding""]","[""newly issued ownership/debt/utility claim"", ""contribution claim""]","[""issuer authority"", ""allocation policy"", ""legal rights"", ""proceeds custody"", ""beneficiary"", ""adjudication"", ""deadline"", ""project delivery""]","[""Balancer V2 liquidity bootstrapping use"", ""Coverage design"", ""no measured deployment asserted""]","[""ERC-20"", ""ERC-3525"", ""ERC-3475"", ""ERC-3643"", ""ERC-1155""]","[""P1 Fig1 p2 limited coverage; analyst extension tested by LBP case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-DER,Derivatives and contingent exposure,[],"Create a payoff determined by prices, rates or events rather than ownership of the referenced asset.","An agreed payoff references a variable or event and has margin, settlement or exercise rules.",A fully redeemable custody receipt is not automatically a derivative; protection responding to defined loss also has RSK.,"[""FIN-CRE"", ""FIN-RSK"", ""FIN-EXC""]","[""futures/perpetual funding"", ""options"", ""outcome resolution"", ""payoff tranching""]","[""margined position"", ""option"", ""outcome share"", ""rate claim""]","[""oracle"", ""funding"", ""insurance/backstop"", ""liquidator and liquidity"", ""option writers"", ""premium"", ""margin"", ""exercise window"", ""settlement data"", ""resolver"", ""event wording"", ""challenge process"", ""collateral"", ""underlying yield asset"", ""maturity"", ""negative yield"", ""index/oracle""]","[""Drift perpetual market"", ""Opyn Gamma option design"", ""Gnosis Conditional Tokens"", ""Pendle PT/YT market""]","[""ERC-20"", ""ERC-1155"", ""ERC-3525"", ""ERC-165"", ""ERC-5095"", ""ERC-5115""]","[""P1 \u00a73.8 pp15\u201316; P4 \u00a73.5 pp4\u20135""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MGT,Asset and portfolio management,[],Allocate or manage capital for a mandate with returns passed to participants.,An allocator/strategy controls portfolio exposure or its recurring management.,A container or ERC-4626 ABI alone supplies no mandate; operating the underlying market is a separate function.,"[""FIN-CRE"", ""FIN-EXC"", ""FIN-SEC""]","[""strategy execution"", ""rebalancing"", ""curated allocation"", ""index tracking""]","[""portfolio share"", ""segregated managed position""]","[""underlying venues"", ""allocator"", ""caps"", ""fees"", ""unwind liquidity"", ""valuation"", ""custody"", ""manager"", ""tracking error"", ""external rights"", ""venue hooks"", ""adverse selection"", ""rebalance execution""]","[""Morpho MetaMorpho"", ""Yearn V3 vault"", ""Centrifuge fund vault"", ""Set portfolio design"", ""Arrakis liquidity vault design""]","[""ERC-4626"", ""ERC-7540"", ""ERC-7575"", ""ERC-3643"", ""ERC-7943"", ""ERC-721""]","[""P2 \u00a7VII pp11\u201313; P4 \u00a73.4 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-SEC,Consensus and shared-security capital services,[],Commit capital to consensus or other security services in exchange for rewards with specified duties and penalties.,Capital backs validator/operator duties or is delegated to such exposure.,Node software alone is a supporting capability; ordinary collateralized borrowing is CRE even if collateral is a staking receipt.,"[""FIN-MGT"", ""FIN-CRE"", ""FIN-RSK""]","[""staking delegation"", ""liquid receipt issuance"", ""restaking allocation""]","[""stake"", ""liquid staking claim"", ""restaked security exposure""]","[""validator"", ""chain rewards"", ""slashing"", ""exit queue"", ""operators"", ""share accounting"", ""queue"", ""secondary liquidity"", ""service rules"", ""operator"", ""slashing authority"", ""collateral reuse""]","[""Ethereum validator deposit"", ""Lido staking pool"", ""Lido stETH/wstETH"", ""EigenLayer allocation/delegation""]","[""ERC-20"", ""ERC-721""]","[""P1 \u00a73.6 pp14\u201315; contemporary case extension""]",recommendation,medium,2026-09-09,2026-09-08
FIN-RSK,Protection and loss allocation,[],Transfer specified loss exposure or assign differentiated loss-bearing obligations to capital.,"A cover, guarantee, tranche or backstop defines who absorbs a loss and on what trigger.",Ordinary investment loss is not a protection service; a generic price bet is DER.,"[""FIN-DER"", ""FIN-CRE"", ""FIN-MGT""]","[""mutual assessment"", ""parametric payout"", ""subordination"", ""first-loss fund""]","[""cover entitlement"", ""junior/senior claim"", ""guarantee""]","[""claims authority"", ""exclusions"", ""capital sufficiency"", ""dispute process"", ""underlying default"", ""valuation"", ""waterfall implementation"", ""fund adequacy"", ""governance"", ""deficit measurement"", ""recapitalization""]","[""Nexus Mutual cover"", ""Centrifuge tranche design"", ""Drift insurance fund""]","[""ERC-721"", ""ERC-20"", ""ERC-3525"", ""ERC-7575""]","[""P3 threat overlay distinct from function; analyst extension tested by cover case""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MON.1,Monetary issuance and redemption,"[""FIN-MON""]","Issue/cancel units designed for monetary use and define reserve, peg and redemption arrangements.",An issuer or monetary mechanism creates money-like units.,Using USDC for a swap does not make the AMM a monetary issuer.,"[""FIN-CRE.2""]","[""reserve subscriptions"", ""collateralized minting"", ""supply adjustment""]","[""issuer liability or protocol redemption claim""]","[""reserves"", ""custodians"", ""peg liquidity"", ""governance""]","[""Maker Vat/Dai""]","[""ERC-20"", ""ERC-3643"", ""ERC-7943""]","[""P1 \u00a73.5 pp13\u201314; P4 \u00a73.3 p4""]",recommendation,medium,2026-09-09,2026-09-08
FIN-MON.2,Payments and streaming,"[""FIN-MON""]","Transfer value to discharge a payment duty, immediately or over time.",Receiver obtains a payment or accrued withdrawal entitlement.,Routing a priced asset exchange is EXC.2; mere token transfer interface is capability.,"[""FIN-MON.3"", ""FIN-EXC.2""]","[""push/pull payment"", ""vesting stream"", ""recurring settlement""]","[""accrued payment right""]","[""payer funding"", ""cancellation authority"", ""clock"", ""transfer behavior""]","[""Sablier Lockup""]","[""ERC-20"", ""ERC-721"", ""ERC-2612"", ""ERC-3009""]","[""P1 \u00a73.5 pp13\u201314; P4 \u00a73.3 p4""]",recommendation,medium,2026-09-09,2026-09-08
