repository	category	status	description	default_branch	local_head	head_commit_date	github_pushed_at	language	archived_api	fork	open_issues_and_prs_api	local_tag_count	security_policy	codeowners	replacement	html_url
midnightntwrk/midnight-architecture	active and authoritative	S2 documentation	Architecture documents for Midnight	main	eabbedf33080b7ed033264e52c26c0dbb75bc57c	2026-08-18T06:38:57+01:00	2026-08-26T15:12:38Z	Scheme	False	False	43	0	False	False		https://github.com/midnightntwrk/midnight-architecture
midnightntwrk/releases	infrastructure or deployment support	S3/S6		gh-pages	3799247d424b8a1480735507b9388a83c0b56c2e	2025-08-15T13:03:26-04:00	2026-07-26T02:45:09Z	HTML	False	False	8	0	False	False		https://github.com/midnightntwrk/releases
midnightntwrk/example-counter	archived	S0	This repository is archived and no longer maintained. The counter example was a Compact contract and a CLI environment to deploy and interact with the contract that can be used as a template to start building on Midnight	main	273f083ab36a52407f16ec9a9796d902226e05d6	2026-08-14T11:33:52-04:00	2026-08-14T15:33:53Z	TypeScript	True	False	23	0	True	True		https://github.com/midnightntwrk/example-counter
midnightntwrk/example-bboard	demonstration/example material	S3	The bboard example is a Compact contract, a CLI environment and a UI built with React to deploy and interact with the contract that can be used as a template to start building on Midnight	main	38bfac8c574abb0c5a96c9e076779716c3e88231	2026-08-25T10:00:03+01:00	2026-08-31T04:45:36Z	TypeScript	False	False	18	0	True	True		https://github.com/midnightntwrk/example-bboard
midnightntwrk/halo2	archived	S0		dev	92d9356722f4e7943bec2dd5d2dcc5ebbedd4ff1	2025-06-17T12:20:21+02:00	2025-08-15T18:18:00Z	Rust	True	True	3	0	False	False		https://github.com/midnightntwrk/halo2
midnightntwrk/midnight-improvement-proposals	active and authoritative	S4-S6; deployment not inferred	Midnight Improvement Proposals (MIPs)	main	a72cc4ebd919a75cfa59e9d3ac6a6de3dec3a931	2026-09-02T11:16:11-04:00	2026-09-02T15:16:11Z	HTML	False	False	35	0	True	True		https://github.com/midnightntwrk/midnight-improvement-proposals
midnightntwrk/midnight-template-repo	infrastructure or deployment support	S3/S6		main	d72191d73995ea8636ef62717adfd7fa82495789	2026-08-12T10:01:30+01:00	2026-08-27T11:52:51Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/midnight-template-repo
midnightntwrk/midnight-awesome-dapps	unclear	unverified	Midnight Awesome Dapps	main	6fcf04b4a6162d63966493169bf30f6df69bce2e	2026-09-02T14:43:07+01:00	2026-09-02T13:43:08Z	Shell	False	False	9	0	True	True		https://github.com/midnightntwrk/midnight-awesome-dapps
midnightntwrk/midnight-node-docker	infrastructure or deployment support	S3/S6	Run a Midnight validator using podman/docker	main	60ef78c7f4244803d1386aa59c544aa775eecd8f	2026-08-12T07:29:26Z	2026-08-24T07:05:27Z	Shell	False	False	21	0	True	True		https://github.com/midnightntwrk/midnight-node-docker
midnightntwrk/compact	superseded	S5 release-artifact mirror	Compact Releases	main	5e4946cca6abd8039e242ebcfc06be01391c35d6	2026-08-16T05:22:44+01:00	2026-08-27T16:52:23Z		False	False	8	2	True	True	LFDT-Minokawa/compact	https://github.com/midnightntwrk/compact
midnightntwrk/midnight-trusted-setup	archived	S0	Midnight trusted setup for PLONK over BLS12-381 repository	main	3ea610263b228af24840f7b00661ee22360db6d8	2026-03-17T13:02:16+01:00	2026-03-17T12:02:19Z	Rust	True	False	6	0	True	True		https://github.com/midnightntwrk/midnight-trusted-setup
midnightntwrk/compact-tree-sitter	archived	S0	tree-sitter bindings for the Compact language	main	6693aff01384a8cf1d928d830f67978c441a2506	2026-04-08T14:25:26+01:00	2026-05-12T08:00:23Z	JavaScript	True	False	5	0	True	True		https://github.com/midnightntwrk/compact-tree-sitter
midnightntwrk/compact-zed	archived	S0	Zed extension for the Compact Language	main	37447e0c4653424c40a005e6dd4aa2c50037cccf	2026-03-31T09:28:43+01:00	2026-03-31T08:30:41Z	Tree-sitter Query	True	False	8	0	True	True		https://github.com/midnightntwrk/compact-zed
midnightntwrk/midnight-indexer	active and authoritative	S4-S6; deployment not inferred	Midnight Indexer	main	3382a3829d86ed3ceac965eab140db3520b25904	2026-09-02T12:48:34-04:00	2026-09-02T17:47:13Z	Rust	False	False	117	0	True	True		https://github.com/midnightntwrk/midnight-indexer
midnightntwrk/midnight-node	active and authoritative	S4-S6; deployment not inferred	Bringing rational privacy to blockchain	main	28eb943f26f72f361faeb186ce7195f9107d349b	2026-09-01T22:03:09Z	2026-09-02T15:50:29Z	Rust	False	False	294	0	True	True		https://github.com/midnightntwrk/midnight-node
midnightntwrk/midnight-js	active and authoritative	S4-S6; deployment not inferred	Midnight JS	main	fe47f31228e481eaab8c9c8dc9c9deb645673024	2026-08-24T11:43:39+02:00	2026-09-02T17:22:34Z	TypeScript	False	False	65	0	True	True		https://github.com/midnightntwrk/midnight-js
midnightntwrk/midnight-zk	active and authoritative	S4-S6; deployment not inferred	Midnight ZK	main	695351f1cdb3909affd1c89fef0a5eb3e9fa3ab7	2026-08-21T15:17:06Z	2026-09-02T17:56:14Z	Rust	False	False	50	0	True	True		https://github.com/midnightntwrk/midnight-zk
midnightntwrk/lfdt-project-proposals	infrastructure or dependency fork	S3/S6 unclear	Project Proposals	gh-pages	8adeefb93325d7755cf8e244c160828b6a6ba150	2025-09-12T13:58:58-04:00	2025-10-13T10:16:22Z	Ruby	False	True	1	0	False	True		https://github.com/midnightntwrk/lfdt-project-proposals
midnightntwrk/midnight-node-cli	archived	S0	A CLI tool for easily running Midnight Network development nodes	main	a233981caad73de945036e4d80d888b593d36895	2026-05-26T04:29:02-06:00	2026-05-26T10:29:02Z	TypeScript	True	False	6	0	True	True		https://github.com/midnightntwrk/midnight-node-cli
midnightntwrk/midnight-reserve-contracts	unclear	unverified	This Repository is Managed by Terraform	main	4aa85437f4c4077c8cbbf1d0386776e91870678f	2026-08-31T18:20:03-04:00	2026-08-31T22:21:56Z	TypeScript	False	False	18	0	True	True		https://github.com/midnightntwrk/midnight-reserve-contracts
midnightntwrk/dApp-idea-board	demonstration/example material	S3	A repository for contributors of Midnight project.	main	6ba7988c5917f573c1f6b2fe027d27cdfaa37a36	2026-07-28T14:15:56+01:00	2026-08-26T03:43:03Z	Shell	False	False	18	0	True	True		https://github.com/midnightntwrk/dApp-idea-board
midnightntwrk/midnight-did	active but experimental	S3/S5	Reference implementation of the did:midnight method, including Compact contract, DID domain model, TypeScript API, docs, and release artifacts.	main	de776912bb806f67bce54838cf9f9f3da1340900	2026-09-02T15:01:13+07:00	2026-09-02T08:01:15Z	TypeScript	False	False	26	0	True	True		https://github.com/midnightntwrk/midnight-did
midnightntwrk/upload-sarif-github-action	infrastructure or deployment support	S3/S6	Uploads SARIF files to Checkmarx	main	362d0346b194663004cb371e8e8523bd1c910917	2026-08-24T09:38:43+01:00	2026-08-31T01:56:07Z	Shell	False	False	4	1	True	True		https://github.com/midnightntwrk/upload-sarif-github-action
midnightntwrk/midnight-did-resolver	active but experimental	S3/S5	This Repository is Managed by Terraform	main	49912b214a985d582d2964f8a620bb6b94e1e560	2026-08-17T17:36:23+07:00	2026-08-31T06:21:42Z	TypeScript	False	False	22	1	True	True		https://github.com/midnightntwrk/midnight-did-resolver
midnightntwrk/midnight-docs	active and authoritative	S4-S6; deployment not inferred	This Repository is Managed by Terraform	main	f1422dafa4241e55fa33541e17bf14d1e9b3a5f8	2026-09-02T13:24:54+01:00	2026-09-02T12:24:57Z	MDX	False	False	23	0	True	True		https://github.com/midnightntwrk/midnight-docs
midnightntwrk/midnight-cnight-to-dust-dapp	unclear	unverified	This Repository is Managed by Terraform	main	3a8d8c16e628f204144616aff0863670004fc3d9	2026-08-14T09:19:43+01:00	2026-08-27T00:47:05Z	TypeScript	False	False	20	0	True	True		https://github.com/midnightntwrk/midnight-cnight-to-dust-dapp
midnightntwrk/midnight-ledger	active and authoritative	S4-S6; deployment not inferred	This repository contains the implementation of Midnight's ledger, as well as documents specifying its behaviour. It defines the transaction structure and state of Midnight, as well as providing Rust and WASM TypeScript APIs to interact with it.	ledger-8	a8ab82ba2124c36f92795c683e70bd888bc1d1fb	2026-09-02T18:14:33+02:00	2026-09-02T17:53:05Z	Rust	False	False	114	0	True	True		https://github.com/midnightntwrk/midnight-ledger
midnightntwrk/setup-compact-action	infrastructure or deployment support	S3/S6	Github Action for installing Compact compiler	main	a6d20c7416e9c1bcd27e6aafb6a50b30bff9831c	2026-08-17T14:22:33+01:00	2026-08-24T10:53:52Z	Shell	False	False	3	0	True	True		https://github.com/midnightntwrk/setup-compact-action
midnightntwrk/midnight-sdk	active and authoritative	S4-S6; deployment not inferred	Midnight SDK - managed by terraform	main	f5404d29d9fb5b2c37e494e47734cbeb76bd080d	2026-08-21T13:07:26-04:00	2026-09-02T13:21:27Z	TypeScript	False	False	31	0	True	True		https://github.com/midnightntwrk/midnight-sdk
